Chlorsulfuron	Callus
0	7.588
0	7.577
0	7.845
0	7.244
0	7.553
0	8.184
0	7.268
0	7.308
0.0008	7.873
0.0008	6.914
0.0008	7.417
0.0008	6.593
0.0025	7.654
0.0025	7.715
0.0025	7.31
0.0025	7.691
0.008	7.411
0.008	7.517
0.008	7.702
0.008	7.004
0.008	6.928
0.025	7.02
0.025	6.879
0.025	6.797
0.025	7.457
0.025	7.899
0.08	7.714
0.08	7.504
0.08	7.584
0.08	7.819
0.08	6.707
0.31	7.035
0.31	5.515
0.31	6.423
0.31	6.875
0.31	6.915
1	2.989
1	3.077
1	5.144
1	2.015
1	4.825
3.1	1.515
3.1	0.531
3.1	2.55
3.1	1.051
3.1	2.062
10	0.068
10	0.916
10	0.88
10	1.356
10	0.718
