Cycle	Mould	Cavity	Pressure	Speed	Time	Gate	Regrind	Moisture	Temperature	Shrinkage
1	1	1	1	1	1	1	1	1	1	2.2
1	1	1	1	1	1	1	1	2	2	2.1
1	1	1	1	1	1	1	2	1	2	2.3
1	1	1	1	1	1	1	2	2	1	2.3
1	1	1	2	2	2	2	1	1	1	0.3
1	1	1	2	2	2	2	1	2	2	2.5
1	1	1	2	2	2	2	2	1	2	2.7
1	1	1	2	2	2	2	2	2	1	0.3
1	2	2	1	1	2	2	1	1	1	0.5
1	2	2	1	1	2	2	1	2	2	3.1
1	2	2	1	1	2	2	2	1	2	0.4
1	2	2	1	1	2	2	2	2	1	2.8
1	2	2	2	2	1	1	1	1	1	2
1	2	2	2	2	1	1	1	2	2	1.9
1	2	2	2	2	1	1	2	1	2	1.8
1	2	2	2	2	1	1	2	2	1	2
2	1	2	1	2	1	2	1	1	1	3
2	1	2	1	2	1	2	1	2	2	3.1
2	1	2	1	2	1	2	2	1	2	3
2	1	2	1	2	1	2	2	2	1	3
2	1	2	2	1	2	1	1	1	1	2.1
2	1	2	2	1	2	1	1	2	2	4.2
2	1	2	2	1	2	1	2	1	2	1
2	1	2	2	1	2	1	2	2	1	3.1
2	2	1	1	2	2	1	1	1	1	4
2	2	1	1	2	2	1	1	2	2	1.9
2	2	1	1	2	2	1	2	1	2	4.6
2	2	1	1	2	2	1	2	2	1	2.2
2	2	1	2	1	1	2	1	1	1	2
2	2	1	2	1	1	2	1	2	2	1.9
2	2	1	2	1	1	2	2	1	2	1.9
2	2	1	2	1	1	2	2	2	1	1.8
