Rods	Drying	Material	Thickness	Angle	Opening	Current	Method	Preheating	Strength
-1	-1	-1	-1	-1	-1	-1	-1	-1	43.7
-1	-1	1	1	1	1	-1	-1	1	40.2
-1	1	1	-1	-1	-1	-1	1	-1	42.4
-1	1	-1	1	1	1	-1	1	1	44.7
-1	1	1	-1	-1	1	1	-1	1	42.4
-1	1	-1	1	1	-1	1	-1	-1	45.9
-1	-1	-1	-1	-1	1	1	1	1	42.2
-1	-1	1	1	1	-1	1	1	-1	40.6
1	1	1	-1	1	-1	-1	-1	1	42.4
1	1	-1	1	-1	1	-1	-1	-1	45.5
1	-1	-1	-1	1	-1	-1	1	1	43.6
1	-1	1	1	-1	1	-1	1	-1	40.6
1	-1	-1	-1	1	1	1	-1	-1	44.0
1	-1	1	1	-1	-1	1	-1	1	40.2
1	1	1	-1	1	1	1	1	-1	42.5
1	1	-1	1	-1	-1	1	1	1	46.5
