Year	Period	Rainfall
1839	1	8
1839	2	0
1839	3	22
1839	4	7
1839	5	8
1839	6	0
1839	7	0
1839	8	0
1839	9	0
1839	10	45
1839	11	6
1839	12	42
1839	13	0
1839	14	22
1839	15	12
1839	16	3
1839	17	0
1839	18	12
1839	19	12
1839	20	14
1839	21	8
1839	22	0
1839	23	11
1839	24	0
1839	25	0
1839	26	91
1839	27	0
1839	28	64
1839	29	92
1839	30	108
1839	31	20
1839	32	46
1839	33	106
1839	34	41
1839	35	0
1839	36	104
1839	37	25
1839	38	7
1839	39	86
1839	40	111
1839	41	158
1839	42	8
1839	43	10
1839	44	3
1839	45	18
1839	46	106
1839	47	34
1839	48	21
1839	49	14
1839	50	0
1839	51	122
1839	52	31
1839	53	44
1839	54	164
1839	55	84
1839	56	7
1839	57	12
1839	58	0
1839	59	0
1839	60	16
1839	61	0
1840	1	33
1840	2	0
1840	3	0
1840	4	0
1840	5	0
1840	6	0
1840	7	8
1840	8	68
1840	9	107
1840	10	18
1840	11	0
1840	12	28
1840	13	22
1840	14	3
1840	15	3
1840	16	0
1840	17	0
1840	18	50
1840	19	37
1840	20	13
1840	21	20
1840	22	67
1840	23	0
1840	24	0
1840	25	79
1840	26	3
1840	27	0
1840	28	132
1840	29	137
1840	30	44
1840	31	12
1840	32	22
1840	33	66
1840	34	10
1840	35	58
1840	36	58
1840	37	73
1840	38	146
1840	39	32
1840	40	18
1840	41	92
1840	42	122
1840	43	171
1840	44	79
1840	45	0
1840	46	1
1840	47	0
1840	48	66
1840	49	120
1840	50	0
1840	51	4
1840	52	0
1840	53	7
1840	54	0
1840	55	12
1840	56	0
1840	57	0
1840	58	0
1840	59	20
1840	60	111
1840	61	251
1841	1	0
1841	2	45
1841	3	0
1841	4	0
1841	5	0
1841	6	0
1841	7	0
1841	8	0
1841	9	11
1841	10	24
1841	11	56
1841	12	22
1841	13	0
1841	14	0
1841	15	3
1841	16	125
1841	17	22
1841	18	178
1841	19	7
1841	20	25
1841	21	0
1841	22	23
1841	23	75
1841	24	3
1841	25	70
1841	26	11
1841	27	0
1841	28	0
1841	29	217
1841	30	4
