Week	Index	AntCap	ExcCap	Ants	AntIns	ExcIns
1	7	1	1	0	0	1
1	16	2	1	1	0	1
1	18	1	1	1	0	1
1	23	1	3	0	0	1
1	26	11	1	3	2	0
2	2	4	4	1	0	1
2	3	4	2	0	3	0
2	5	1	1	0	0	1
2	9	1	1	0	2	0
2	10	1	1	0	0	1
2	13	1	2	1	0	1
2	15	1	2	1	1	2
2	16	2	1	2	0	1
2	17	1	2	1	0	4
2	21	3	3	2	1	4
2	22	1	3	1	0	4
2	23	1	3	0	0	2
2	24	10	13	6	3	15
2	25	1	1	0	0	2
2	26	14	1	1	1	2
2	28	1	1	0	0	9
2	29	1	1	1	0	3
3	1	1	1	1	1	1
3	2	3	3	3	0	5
3	3	4	2	4	0	4
3	4	1	1	1	0	1
3	5	1	1	0	3	2
3	6	1	1	1	1	1
3	7	1	1	1	0	2
3	9	1	1	1	0	1
3	10	1	1	1	1	5
3	11	3	1	1	0	3
3	12	1	1	1	0	2
3	13	1	4	1	2	5
3	14	5	3	5	0	3
3	15	3	3	1	0	2
3	16	3	3	3	0	1
3	17	4	3	4	0	7
3	18	2	2	1	0	1
3	19	3	3	2	0	2
3	20	5	1	2	1	2
3	21	7	3	5	0	3
3	22	3	3	2	1	3
3	23	1	4	1	0	4
3	24	20	17	4	7	20
3	25	1	2	1	0	3
3	26	19	1	5	0	1
3	27	1	3	1	0	2
3	28	1	1	1	0	3
3	29	1	2	0	5	4
3	30	3	3	2	0	3
4	2	3	3	3	0	3
4	3	3	2	1	4	3
4	4	2	1	1	1	1
4	5	1	1	0	1	2
4	6	1	1	0	2	2
4	8	1	1	0	0	2
4	9	1	1	0	0	1
4	11	4	1	3	0	3
4	13	4	5	3	1	2
4	14	4	6	3	0	1
4	15	4	3	2	1	0
4	16	3	3	1	1	1
4	17	4	4	3	0	7
4	18	4	3	0	0	1
4	19	3	3	2	0	1
4	20	4	1	1	0	1
4	21	10	4	0	3	0
4	22	3	4	0	1	0
4	24	30	24	0	4	4
4	26	13	3	6	1	2
4	29	3	3	0	2	0
5	1	3	2	2	0	1
5	2	7	5	4	4	12
5	3	3	4	0	7	9
5	4	5	5	1	2	15
5	5	4	4	1	12	14
5	6	3	3	0	6	2
5	7	5	3	0	9	0
5	8	4	3	1	6	10
5	9	5	4	2	6	8
5	10	3	7	1	1	15
5	11	6	3	4	0	5
5	12	4	3	1	5	1
5	13	6	6	3	2	6
5	14	4	7	2	0	9
5	15	3	2	0	2	3
5	16	3	2	1	1	0
5	17	6	5	1	1	11
5	18	4	3	1	1	0
5	19	3	5	1	2	3
5	20	6	2	3	2	1
5	21	16	6	8	2	8
5	22	5	6	0	2	8
5	23	4	11	0	3	9
5	24	30	34	0	16	36
5	25	2	6	1	0	5
5	26	16	6	0	1	6
5	27	6	4	1	0	2
5	28	3	2	1	0	4
5	29	3	6	0	1	3
5	30	5	3	2	2	2
6	1	3	3	1	0	1
6	2	9	9	5	2	8
6	3	10	7	7	2	9
6	4	6	10	1	6	5
6	5	4	4	2	4	8
6	6	4	5	0	7	8
6	7	7	5	1	0	4
6	8	6	5	1	4	7
6	9	10	8	1	0	4
6	10	4	15	1	2	6
6	11	8	5	5	0	6
6	12	6	3	3	0	1
6	13	8	8	5	0	10
6	14	4	14	1	0	11
6	15	3	2	3	1	3
6	16	4	3	2	1	2
6	17	7	5	1	5	4
6	18	2	3	2	0	5
6	19	2	6	1	0	3
6	20	7	3	3	0	5
6	21	35	6	6	0	6
6	22	5	6	1	2	6
6	23	5	13	0	2	10
6	24	44	52	1	37	59
6	25	5	8	1	2	3
6	26	12	8	5	0	5
6	27	10	5	4	9	4
6	28	4	5	0	4	5
6	29	8	4	2	3	2
6	30	6	6	0	2	4
7	1	4	4	0	2	0
7	2	13	13	0	11	11
7	3	11	9	0	9	4
7	4	9	11	0	8	3
7	5	7	8	0	11	3
7	6	9	6	0	1	2
7	7	10	6	0	2	3
7	8	8	5	0	1	0
7	9	11	9	0	0	1
7	10	6	17	0	0	7
7	11	11	5	0	4	5
7	13	9	6	3	4	4
7	14	3	17	1	0	11
7	15	4	5	3	0	2
7	16	2	4	1	0	2
7	17	7	7	1	1	3
7	18	2	2	0	0	2
7	19	2	9	1	0	2
7	20	6	2	3	1	1
7	21	33	8	4	5	1
7	22	7	8	1	0	1
7	23	9	15	0	2	10
7	24	47	65	0	32	39
7	25	8	8	1	6	3
7	26	18	11	0	0	5
7	27	17	4	0	13	3
7	28	5	7	0	3	2
7	29	15	6	0	4	2
7	30	11	10	0	7	0
8	1	4	5	2	0	2
8	2	14	11	0	1	1
8	3	11	10	0	2	2
8	4	10	13	0	0	3
8	6	6	10	0	2	2
8	7	11	8	0	3	5
8	8	10	6	0	2	0
8	9	14	9	0	4	3
8	10	4	28	0	7	6
8	11	10	6	3	1	3
8	12	7	2	0	3	1
8	13	13	7	2	5	4
8	14	2	18	0	0	3
8	17	7	6	0	0	1
8	19	3	7	0	0	2
8	21	32	7	0	7	0
8	22	5	7	0	21	0
8	23	8	15	0	4	0
8	24	47	49	1	5	13
8	25	6	6	0	1	1
8	27	14	7	3	3	0
8	28	6	6	1	3	0
8	29	13	7	3	3	0
8	30	9	9	0	2	0
