HPC	Colonies
0.75	2
0.75	4
0.75	8
0.75	9
0.75	10
0.75	1
0.75	0
0.75	5
0.75	14
0.75	7
0.375	11
0.375	12
0.375	13
0.375	12
0.375	11
0.375	13
0.375	17
0.375	16
0.375	21
0.375	2
0.1875	16
0.1875	6
0.1875	20
0.1875	23
0.1875	23
0.1875	39
0.1875	18
0.1875	23
0.1875	33
0.1875	21
0.09375	33
0.09375	46
0.09375	42
0.09375	18
0.09375	35
0.09375	20
0.09375	19
0.09375	29
0.09375	41
0.09375	36
0.075	30
0.075	30
0.075	27
0.075	53
0.075	51
0.075	39
0.075	31
0.075	36
0.075	38
0.075	22
0.0075	53
0.0075	62
0.0075	38
0.0075	54
0.0075	54
0.0075	38
0.0075	46
0.0075	58
0.0075	54
0.0075	57
0.00075	3
0.00075	42
0.00075	45
0.00075	49
0.00075	32
0.00075	39
0.00075	40
0.00075	34
0.00075	45
0.00075	51
