Time	Magnitude	SD
218.7758	0.1545	0.01648
219.8242	0.471	0.02099
220.776	0.4521	0.02102
226.7787	-0.2195	0.0113
259.6066	0.4805	0.02091
261.618	0.2823	0.01811
261.6642	0.2753	0.01801
261.7043	0.2624	0.01783
261.7801	0.28	0.01827
262.5851	0.1545	0.0163
264.6492	-0.06932	0.01372
265.7041	-0.1675	0.01188
269.7287	-0.01463	0.01391
271.7101	0.3614	0.01943
272.6892	0.4791	-0.02089
272.692	0.4859	0.02098
272.7019	0.49	-0.02126
273.7376	0.4322	0.02022
278.7684	-0.1682	0.01226
278.7747	-0.1751	0.01165
283.5562	0.01111	0.01464
283.6081	-0.008255	0.01415
284.5422	0.2291	0.01754
285.4272	0.4138	-0.02018
285.5365	0.4588	-0.0206
285.6634	0.4548	-0.02076
286.5452	0.4468	-0.02043
291.7264	-0.1574	0.0122
292.5784	-0.2166	0.01208
293.6626	-0.2449	0.01078
295.6912	-0.03617	-0.01361
296.5012	-0.009168	0.01399
297.477	0.1251	0.01589
300.6967	0.3074	0.01968
304.4445	-0.1298	0.01242
305.4802	-0.2079	0.0113
306.4279	-0.2407	0.01099
306.663	-0.2414	0.01071
307.4311	-0.202	0.01262
308.4151	-0.06157	0.01359
308.6136	-0.04852	0.01344
309.7462	-0.0009201	0.01426
310.4586	0.1128	0.01571
310.6732	0.1792	0.01665
312.524	0.4642	-0.02316
314.5944	0.2023	0.01716
315.4567	0.09345	0.01544
316.4889	-0.01372	0.01393
316.6468	-0.0335	0.01379
318.5465	-0.2151	0.0112
318.6713	-0.2086	0.01146
324.5791	0.4494	0.02068
324.7026	0.4928	0.0213
325.6285	0.4682	-0.02073
326.4835	0.3817	-0.01951
341.6338	0.1148	0.01614
342.4685	0	0.01427
342.607	-0.00276	0.01423
342.7129	-0.02636	0.01375
343.4633	-0.09051	0.01284
343.5872	-0.1005	0.01302
343.7243	-0.1274	-0.01263
344.6893	-0.2093	0.01145
344.7082	-0.2144	0.01109
344.7263	-0.2151	0.01108
350.7406	0.4138	-0.02047
351.5138	0.508	0.02129
360.6562	-0.1096	0.01257
360.6682	-0.1177	0.01246
361.463	-0.03528	0.01362
361.588	-0.02636	-0.0154
361.5927	-0.01463	0.01483
361.5975	-0.02546	0.01436
361.636	-0.01825	0.01401
362.4929	-0.01281	0.01394
362.6085	0.002767	0.01416
362.6512	0.01018	0.01426
362.7226	0.02991	0.01454
364.4764	0.5052	-0.02125
364.6041	0.4887	0.02089
364.6543	0.4914	0.02093
365.4652	0.4322	0.02022
365.6597	0.397	0.01973
366.5975	0.2624	0.01801
372.5016	-0.2173	0.01133
373.4388	-0.1504	0.012
373.5526	-0.1362	0.0122
373.6763	-0.1177	-0.01246
375.4404	-0.004595	0.01406
375.5504	0.01018	0.01426
375.6682	0.03944	-0.01483
377.4544	0.4777	0.02087
377.6339	0.5205	-0.02201
378.4436	0.423	-0.02009
378.6355	0.4441	-0.02039
379.4413	0.3026	0.01839
380.4798	0.188	0.0172
380.6289	0.1556	-0.01632
381.4331	0.05779	0.01494
383.4504	-0.1528	0.01196
383.6344	-0.1605	-0.01198
384.4443	-0.2202	0.01113
384.6121	-0.2287	-0.01101
387.5243	0.005542	-99
387.6142	-0.01916	-0.01385
388.5296	0.005542	0.01435
388.6131	0.01859	-0.01475
391.619	0.4335	0.02024
391.7521	0.4669	0.02124
392.4391	0.3146	-0.01856
392.5699	0.3062	0.01833
393.4424	0.1869	0.01676
393.6028	0.1717	0.01654
395.5958	-0.05637	0.01332
397.713	-0.2344	0.01093
398.5886	-0.2449	0.01066
401.7566	0.03181	-0.0159
402.5029	0.1631	0.01642
402.6851	0.2439	0.01757
406.4399	0.2156	0.01717
408.4608	-0.01281	0.01409
409.4364	-0.1306	0.01241
409.5539	-0.1346	-0.01495
411.486	-0.2456	0.01065
412.5629	-0.1804	0.0117
413.6426	-0.01735	-0.01423
414.4222	-0.0119	0.01395
414.6533	-0.02006	0.01384
417.4818	0.4859	0.02085
417.6842	0.4494	-0.02068
418.6203	0.3378	0.01909
419.4413	0.2371	-0.01747
420.4388	0.1026	0.01557
420.5401	0.09749	0.0155
421.6039	-0.04501	0.01407
422.4231	-0.1128	0.01253
422.5291	-0.1322	0.01225
423.5797	-0.2079	-0.01289
424.4889	-0.2302	0.01135
425.4192	-0.1991	0.01143
425.5226	-0.1968	0.01134
426.4189	-0.07955	0.013
426.5605	-0.05984	0.01342
427.5826	-0.02815	0.01387
428.4154	0.05779	0.01494
430.5249	0.005542	-99
432.6515	0.2394	-0.01769
435.4065	-0.09967	0.01271
436.4164	-0.1924	0.0114
437.3997	-0.24	0.01073
437.5267	-0.2689	0.01746
437.6433	-0.2223	-0.0111
438.4022	-0.2144	0.01109
438.5828	-0.1983	-0.01132
439.4002	-0.09385	0.0128
441.4994	0.0539	0.01488
441.6364	0.08243	0.01528
442.4337	0.3791	0.01935
442.6195	0.4296	0.02006
443.5042	0.515	0.02139
444.3941	0.4151	0.01998
444.5359	0.3817	0.01951
445.4512	0.2566	0.01763
446.405	0.1418	0.01612
446.556	0.1293	0.01595
451.3908	-0.2309	0.01098
451.5277	-0.2216	0.01147
452.382	-0.1226	0.01252
452.6425	-0.09967	0.01303
453.4326	-0.01644	-0.01404
453.5773	-0.0119	0.0141
454.4226	0.02235	0.01459
455.6689	0.4217	-0.02058
457.4886	0.4322	0.02022
459.438	0.1588	0.01654
460.3781	0.05487	0.01555
460.5019	0.01111	0.01522
461.4197	-0.07274	0.01323
462.4048	-0.1659	-0.0119
463.4119	-0.2266	0.01092
463.5302	-0.2435	0.0108
464.532	-0.228	0.01102
469.4035	0.4969	0.02114
470.3718	0.4401	-0.02021
472.372	0.1749	-0.01659
473.3751	0.06955	0.0151
473.4812	0.03753	0.01465
474.3769	-0.05027	-0.01355
474.5043	-0.05811	-0.0133
475.3844	-0.1644	0.0118
475.4771	-0.1605	0.01185
476.3645	-0.2252	0.01094
476.4659	-0.2245	0.01107
477.362	-0.2323	-0.01096
477.4651	-0.2358	0.01079
478.3772	-0.1605	-0.01185
480.3733	0.001844	-0.01415
480.4746	0.007396	0.01423
481.5282	0.299	-0.01834
483.4546	0.4441	0.02039
483.5582	0.4415	0.02035
484.3706	0.3195	0.01863
