Quarter	Food	Clothing	Housing	Household	Transportation	TobAlc	Health	RecEduc	All
Jun.1972	NA	NA	NA	NA	NA	NA	NA	NA	20.1
Sep.1972	20.3	21.3	20.3	22.4	19.7	18.1	16.6	NA	20.2
Dec.1972	20.8	21.7	20.6	22.8	19.7	18.3	16.6	NA	20.5
Mar.1973	21.7	22.0	20.8	22.9	19.8	18.8	16.9	NA	21.0
Jun.1973	22.9	22.8	21.3	23.3	20.0	19.7	17.2	NA	21.7
Sep.1973	24.3	23.5	21.8	24.1	20.6	19.7	19.0	NA	22.6
Dec.1973	25.2	24.4	22.5	24.4	21.3	20.7	19.3	NA	23.4
Mar.1974	26.1	24.9	23.1	25.0	22.1	20.7	19.8	NA	24.0
Jun.1974	26.8	26.7	23.9	25.8	22.6	21.8	20.5	NA	24.8
Sep.1974	27.7	27.9	25.4	27.8	24.6	22.9	21.3	NA	26.2
Dec.1974	27.1	30.1	26.6	29.9	25.7	23.3	23.2	NA	27.0
Mar.1975	27.5	30.4	27.2	30.4	26.0	24.5	26.3	NA	27.7
Jun.1975	28.3	31.7	27.8	30.8	26.9	24.8	25.8	NA	28.5
Sep.1975	28.6	32.6	29.4	32.3	27.9	25.6	21.3	NA	29.0
Dec.1975	29.6	34.8	30.5	34.5	30.1	29.6	22.1	NA	30.8
Mar.1976	31.6	35.4	31.2	35.2	30.7	29.8	23.0	NA	31.7
Jun.1976	31.6	37.5	32.1	36.0	31.7	30.4	23.8	NA	32.5
Sep.1976	32.3	38.1	34.2	36.6	32.4	30.6	24.6	NA	33.3
Dec.1976	33.6	40.3	35.7	37.0	32.8	31.1	45.4	NA	35.3
Mar.1977	34.6	40.9	36.4	38.0	33.3	31.3	46.1	NA	36.1
Jun.1977	35.1	42.2	37.0	38.7	33.8	31.9	46.9	NA	36.8
Sep.1977	36.2	43.1	38.1	39.5	34.4	32.1	47.3	NA	37.5
Dec.1977	36.9	44.6	39.2	40.2	35.1	32.5	47.9	NA	38.3
Mar.1978	37.8	44.9	40.3	40.7	35.4	32.9	48.5	NA	39.0
Jun.1978	38.6	45.9	40.8	42.1	36.0	33.2	50.7	NA	39.8
Sep.1978	39.3	46.3	41.3	42.9	37.1	33.4	52.1	NA	40.5
Dec.1978	40.4	47.6	42.0	43.3	38.4	43.4	39.7	NA	41.8
