Time	Magnitude	SD
202.6394	0.01485	0.01433
205.8031	-0.1465	0.01205
206.8188	-0.2414	0.01071
210.8221	-0.3208	0.009833
212.6808	-0.04325	-0.01385
218.7859	-0.3177	0.009635
220.786	-0.3484	0.009201
228.7827	-0.4479	0.008309
232.6846	-0.2295	-0.01088
233.7671	-0.3579	0.009067
259.6217	-0.327	0.009503
261.6273	-0.3555	0.0091
262.5943	-0.3868	-0.008659
264.6582	-0.4535	0.007912
265.7131	-0.2245	0.01095
269.7503	-0.112	0.01254
271.7191	-0.1559	0.01192
272.7448	-0.1112	0.01247
273.7469	-0.07615	0.01305
283.5652	-0.3472	0.009218
284.5511	-0.456	0.007763
285.4362	-0.2115	-0.01113
285.693	-0.09635	-0.0129
286.5546	-0.4219	0.008163
291.7357	-0.008256	-0.014
292.5877	-0.2456	0.01077
293.6715	-0.04589	0.01339
293.7506	-0.003678	0.01407
294.5096	-0.4418	0.007882
295.7013	-0.02725	-0.01388
296.5125	-0.4013	0.008454
297.4862	-0.3597	0.009042
300.7126	0.02329	-0.01445
304.4535	-0.4625	0.007671
305.4896	-0.2689	-0.01032
306.4374	-0.4689	-0.007828
306.4511	-0.4382	0.007933
307.4409	-0.3555	0.00933
308.4389	-0.4402	0.007988
308.6292	0.004615	-0.01419
310.4683	-0.3472	0.01062
310.5928	-0.07189	-0.01344
310.7494	0.05584	-0.01491
312.5967	-0.02186	0.01396
314.6039	-0.006427	0.01403
315.4668	-0.2057	0.01122
316.4994	-0.169	0.01173
316.6567	0.04424	0.01465
318.5558	-0.02815	0.01372
318.6804	0.05682	0.01483
324.5894	0.02612	0.01464
324.5941	0.03276	0.01474
324.7176	0.04906	-0.01481
325.6433	0.04809	-0.0148
326.4927	-0.06846	-0.01315
341.643	0.07746	0.01521
342.478	0.02141	0.01442
342.6168	0.08642	0.01534
342.7223	0.09951	-0.01553
343.4732	0.02047	-0.01441
343.5964	0.07251	-0.01514
343.7339	0.1005	0.01554
344.694	0.05779	0.01484
344.7354	0.09547	-0.01547
351.5233	0.05974	0.01496
361.4724	0.06267	0.01491
361.4959	0.05974	0.01487
361.6452	0.1717	0.01654
362.5021	0.05682	-0.01483
362.6212	0.07547	-0.01519
362.6907	0.1397	-0.01599
364.4857	0.04328	-0.01473
364.6138	0.08843	0.01527
364.664	0.09044	-0.0154
365.4777	0.06463	0.01494
365.6158	0.08443	0.01521
365.6687	0.08543	0.01523
366.5008	0.07152	0.01503
366.6068	0.09044	0.0154
372.5111	0.09044	0.0154
373.4478	0.08343	-0.0153
373.5619	0.0985	-0.01568
375.45	0.08443	-0.01521
375.5598	0.07251	-0.01514
375.6829	0.06463	0.01494
377.4639	0.07944	0.01514
377.6433	0.05584	0.01556
378.4531	0.09044	-0.0153
378.6447	0.07349	0.01506
379.4507	0.08443	-0.01521
380.5461	0.07251	-0.01514
380.6381	0.06758	0.01498
381.4436	0.07746	-0.01521
383.4594	0.08543	-0.01523
383.6436	0.0452	0.01476
384.4539	0.08143	0.01527
384.6212	0.07251	0.01505
387.6246	0.04232	-0.01472
388.623	0.05293	0.01487
391.6284	0.05003	0.0152
391.7612	-0.01372	0.01407
392.4481	0.1026	-0.01557
392.5792	0.07349	-0.01506
393.4518	0.09749	0.0154
393.6072	0.05974	-0.01487
395.4675	0.05584	-0.01491
395.6053	0.04906	-0.01481
397.5396	0.07251	0.01505
398.4574	0.1097	-0.01557
398.5982	0.03944	-0.01468
401.4486	0.08243	0.01528
402.4798	0.08143	-0.01527
402.5172	0.02802	-0.01467
406.4492	0.09648	0.01538
408.4699	0.08243	0.01528
409.4456	0.09345	0.01534
409.5634	0.03848	0.01466
411.4949	0.06758	-0.01507
412.5735	0.0539	0.01479
413.6518	-0.02546	0.01376
414.4313	0.09245	-0.01533
414.6623	0.0009209	-0.01404
417.492	0.05974	0.01487
417.6938	-0.09302	0.01567
418.6346	0.02329	0.0154
419.4506	0.02329	-0.01436
420.448	0.07251	-0.01514
