Time	Blue	BlueSD	Red	RedSD
202.6394	-0.03706	-0.1664	-0.007799	0.1642
205.8031	-0.1226	-0.1532	0.02849	0.1532
206.8188	-0.05724	-0.124	0.07201	0.1351
210.8221	-0.5769	0.2494	0.05342	0.3128
212.6808	-0.0335	-0.3136	-0.1406	-0.3248
218.7859	-0.09051	-0.1113	-0.01961	0.1182
220.786	0.2371	0.122	-0.03395	0.1297
228.7827	0.3403	0.3646	0.4488	0.3462
231.714	0.1076	0.1214	0.101	0.1337
232.6846	-0.01463	0.07658	0.1092	0.08219
233.7671	0.2776	0.0912	0.1852	0.1018
259.6217	-0.1022	0.1058	0.05439	0.1117
261.6273	-0.03172	0.1185	0.02282	0.1205
262.5943	-0.006426	0.09437	0.102	0.09665
264.6582	-0.5152	0.1886	-0.2376	0.1913
265.7131	0.01953	-0.09127	-0.1453	0.09209
269.7503	0.3893	0.113	0.1896	0.1141
271.7191	0.12	0.1545	0.2039	0.1539
272.7448	0.09749	0.08927	0.1984	0.08988
273.7469	0.09749	0.1233	0.04088	0.1264
283.5652	-0.1394	-0.1511	-0.05158	0.13
284.5511	0.0985	-0.1626	0.2399	0.1495
285.4362	-0.1894	-0.09623	-0.1709	-0.07875
285.693	0.06955	0.06384	0.1371	-0.07195
286.5546	0.04906	0.08724	0.06316	0.09421
291.7357	-0.08799	0.1358	-0.192	0.1389
292.5877	-0.06932	-0.2566	0.06316	0.2003
293.6715	-0.06589	0.09724	-0.05333	0.1003
293.7506	-0.1751	0.1214	-0.2241	0.1298
294.5096	0.1717	0.08152	0.1787	0.08095
295.7013	-0.1857	0.0574	-0.1625	0.06282
296.5125	0.2555	-0.07045	0.0266	0.07421
297.4862	0.1056	-0.08192	0.08094	0.08891
300.7126	-0.2223	0.06255	-0.1747	0.06863
304.4535	0.08943	-0.1573	0.2422	0.152
305.4896	0.1673	0.07492	-0.0286	0.07637
306.4374	0.2835	-0.1665	0.02944	-0.1439
306.4511	0.3134	-0.1475	0.2017	0.1218
307.4409	-0.02725	0.2718	0.6512	0.2671
308.4389	0.03562	-0.1448	0.2196	0.1403
308.6292	-0.2071	-0.06954	-0.2556	0.07003
310.4683	-0.2295	-0.6686	NA	NA
310.5928	-0.1298	-0.09774	0.03514	0.09078
310.7494	0.2624	-0.09468	0.182	0.09614
312.5967	-0.2238	0.2619	-0.5242	0.2538
314.6039	-0.4428	0.2306	0.4408	0.2371
315.4668	0.08743	-0.1132	-0.0277	0.1074
316.4994	-0.06675	-0.1006	-0.05158	0.1031
316.6567	0.1706	0.1101	0.1392	0.1186
318.5558	-0.1667	-0.1425	-0.05071	0.1388
318.6804	0.2578	0.09661	0.1929	0.1014
324.5894	-0.02546	0.1997	0.04184	0.2154
324.5941	0.122	0.2011	0.1476	0.2162
324.7176	-0.02006	-0.1963	-0.001381	0.1735
325.6433	0.05974	0.05382	0.1466	0.06332
326.4927	-0.1386	-0.06461	-0.02051	0.06639
341.643	-0.2302	-0.1663	-0.1017	0.1725
342.478	0.3219	-0.1702	0.1392	0.1592
342.6168	-0.4377	0.1421	0.1529	0.1474
342.7223	-0.1218	0.1035	0.1174	0.1194
343.4732	-0.06761	-8.587	0.2642	0.1155
343.5964	-0.2442	0.1056	-0.0542	0.1062
343.7339	0.6025	0.1683	-0.2956	0.2026
344.694	-0.0406	0.1148	0.2263	0.1165
344.7354	0.1128	0.09456	0.07498	0.1001
351.5233	-0.3227	0.1158	-0.3791	0.1335
361.4724	-0.1849	-0.1035	-0.1717	0.09152
361.4959	-0.1153	0.08403	-0.1617	0.08574
361.6452	0.344	0.1301	0.1061	0.1516
362.5021	-0.08547	0.07025	0.002305	0.07245
362.6212	0.2325	0.05824	0.1962	0.06606
362.6907	-0.0736	0.05945	-0.1302	0.06838
364.4857	-0.0736	0.04787	-0.07828	0.0509
364.6138	0.1408	0.07116	0.2286	0.07995
364.664	-0.03261	0.04998	0.02	0.05724
365.4777	-0.00184	-0.1076	0.03896	0.08734
365.6158	0.1803	0.09066	0.09295	0.1008
365.6687	-0.03083	0.08412	-0.03839	0.09309
366.5008	0.1641	0.08626	0.09295	0.0899
366.6068	0.08243	0.09296	-0.08757	0.1067
372.5111	0.3038	0.1918	-0.06287	0.1835
373.4478	0.1314	0.07057	0.1413	0.07222
373.5619	-0.0494	-0.08078	0.009717	0.07939
375.45	0.1588	0.06193	0.1256	0.06518
375.5598	-0.1842	-0.06636	-0.04545	0.06728
375.6829	-0.09218	0.1094	0.02188	0.1092
377.4639	0.3317	0.1047	0.02	0.1071
377.6433	-0.08462	0.3922	0.302	0.4381
378.4531	0.1282	0.0593	0.1487	0.06856
378.6447	-0.06846	0.09273	-0.2312	0.1018
379.4507	0.08743	0.07468	0.09396	0.07414
380.5461	-0.3777	-0.1304	-0.4582	0.1449
380.6381	-0.1887	0.07558	-0.1853	0.08779
381.4436	0.1901	0.05415	0.03324	0.0543
383.4594	0.01953	0.04997	0.02565	0.05573
383.6436	-0.1314	0.1023	0.005078	0.1046
384.4539	0.1148	0.1426	-0.06114	0.151
384.6212	-0.1713	0.07569	-0.1532	0.08198
387.5336	NA	NA	-0.2542	0.09468
387.6246	0.01578	0.04532	-0.01599	0.05172
388.623	0.1956	0.1474	0.04472	0.1604
391.6284	0.2764	0.2475	-0.1762	0.2613
391.7612	0.1076	0.2769	0.2128	0.3289
392.4481	-0.06244	0.04102	-0.03128	0.04834
392.5792	0	0.06597	-0.0286	0.07022
393.4518	-0.1055	0.09067	0.04761	0.09188
393.6072	0.1179	0.07577	0.1061	0.08196
395.4675	-0.159	0.05095	-0.1762	0.05583
395.6053	0.1901	0.04999	0.1082	0.05529
397.5396	0.1046	0.113	-0.2198	0.1226
398.4574	-0.2511	0.08548	-0.3066	0.09184
398.5982	0.2589	0.06171	0.1614	0.07037
401.4486	-0.0804	-0.2011	-0.1238	0.1635
402.4798	-0.05202	0.08918	-0.1648	0.09
402.5172	0.04906	0.0901	0.1519	0.08223
406.4492	0.02518	0.08991	-0.02051	0.09214
408.4699	0.03467	0.1333	-0.3286	-0.1382
409.4456	0.07944	0.1025	0.09698	0.1082
409.5634	0.1251	0.1182	0.1392	0.1321
410.5571	0.02518	0.07782	NA	NA
411.4949	0.2966	0.07972	0.182	0.08651
412.5735	0.02047	0.08393	-0.1238	0.1024
413.6518	-0.3405	0.1521	-0.1957	0.1486
414.4313	0.1598	0.06716	0.1668	0.06548
414.6623	-0.1849	0.06926	-0.1374	0.08507
417.492	-0.1128	0.07942	0.06316	0.08455
417.6938	0.1076	0.8754	0.6665	0.9826
418.6346	-0.801	0.5109	-0.03038	0.5922
419.4506	0.1026	0.07672	0.09295	0.06916
420.448	0.1138	0.04486	0.09094	0.04677
420.5493	-0.1819	0.08218	0.01531	0.09089
421.4581	0.1695	0.1185	-0.1157	0.1147
421.6132	-0.2358	0.2093	0.2308	0.2319
422.4321	0.1107	0.06729	0.1508	0.06869
422.5381	-0.2158	0.07162	-0.06373	0.08211
423.5893	-0.8517	-0.2903	-0.532	-0.3013
423.6027	-0.05027	0.1929	-0.2542	0.2146
425.4282	0.1231	0.1118	0.1	0.1165
425.5317	-0.1489	0.09638	-0.06114	0.1046
426.4333	0.07845	0.128	-0.1453	0.1359
426.5862	-0.0406	0.1394	-0.1602	0.1752
427.5919	0.1148	0.111	0.04184	0.1151
428.4244	-0.1667	0.09969	-0.02231	0.09375
430.5342	-0.1759	0.1364	-0.3091	0.1245
432.6607	0.08543	0.2025	-0.1477	0.1684
435.4159	-0.1659	0.08835	-0.1868	0.0958
436.4257	-0.2158	0.0645	-0.1133	0.07052
436.5634	0.2291	0.09107	0.1205	0.1064
437.4087	-0.1559	0.06484	-0.1026	0.07056
438.4115	-0.1713	0.04798	-0.08673	0.05451
438.5918	0.2012	0.089	-0.01599	0.0863
439.4098	-0.2709	0.07657	-0.1928	0.08256
441.5087	0.1503	0.05943	0.09094	0.06707
441.641	-0.09302	0.08863	-0.0286	0.1038
442.4852	0.1397	0.05889	0.135	0.06066
442.6292	-0.05114	0.05749	-0.1286	0.06535
444.4035	-0.0633	0.09324	-0.06373	0.1043
444.5451	0.145	0.1192	0.2207	0.1171
445.4655	0.1429	0.04603	0.1102	0.05442
446.4193	0.0404	0.08841	0.1205	0.09623
446.5605	0.08243	0.05689	0.05245	0.06094
451.3998	0.05099	-0.07502	0.08893	0.07872
451.5387	0	0.1508	0.05245	0.1838
452.391	0.252	-0.1121	0.1487	0.1185
452.6517	-0.01916	0.1632	-0.1508	0.1748
453.4415	0.1901	0.1055	0.1308	0.1095
453.5864	-0.2245	0.1184	-0.15	0.1196
454.4315	0.1738	0.09868	0.1174	0.1184
454.5656	1.206	2.579	2.362	2.855
455.6552	-2.089	-3565	0.03801	0.1508
457.498	-0.1354	0.07033	-0.1116	0.06743
459.4674	0.2764	0.2546	0.3887	0.2221
460.3915	-0.1613	0.415	0.5438	0.3377
460.5107	-1	0.0003878	-0.1469	0.2588
461.4303	-0.2498	0.1572	0.1929	0.1547
462.4145	0.1189	0.1114	0.08193	0.1205
463.4214	0.1282	0.09587	-0.04896	0.1016
463.5392	0.01111	0.1284	-0.006885	0.147
464.5412	-0.1473	0.0841	-0.1957	0.09769
465.435	-0.133	0.05097	-0.07573	0.05932
466.4366	-0.09801	0.06032	-0.1785	0.07503
469.4124	0.176	0.2194	-0.2291	0.2487
470.3807	-0.125	0.05458	-0.08504	0.0579
471.3838	-0.05898	0.05365	-0.05594	0.0572
472.3809	-0.1879	0.04557	-0.07402	0.05444
473.384	-0.2144	0.05112	-0.1009	0.0577
473.4902	0.0009214	0.0796	-0.1686	0.0949
474.386	-0.1781	0.04319	-0.2446	0.04509
474.5137	0.008324	0.07471	0.06218	0.07103
475.3798	-0.2144	0.04549	-0.1747	0.05148
475.4861	0.01578	0.05972	-0.01054	0.06528
476.3734	-0.1713	0.05169	NA	NA
476.475	-0.03972	0.06855	-0.0277	0.07733
477.3713	-0.1496	0.05687	-0.0169	0.06398
477.4741	0.04424	0.0614	0.006931	0.06734
478.3864	-0.1145	0.07525	-0.0187	0.0816
478.4909	0.02047	0.0895	0.09698	0.1032
480.3825	-0.2442	0.0711	-0.1214	0.07227
481.5376	0.08243	0.07434	0.01065	0.07306
483.4636	0.21	0.09953	0.1092	0.09929
483.5678	-0.09967	0.1217	-0.06028	0.1279
484.4	-0.133	0.06424	-0.03484	0.06281
484.5338	0.2078	0.1169	0.05148	0.1095
485.3856	-0.1804	0.08308	-0.1747	0.08064
486.4362	0.2462	0.1753	-0.09926	0.1821
488.4463	0.388	0.236	-0.09009	0.1974
489.3907	0.1836	0.07702	0.09295	0.07703
491.3763	0.1314	0.1085	0.05148	0.1219
492.5368	-0.2035	0.1296	NA	NA
494.3795	0.0404	0.1064	0.02944	0.11
495.3609	0.2474	0.131	-0.03573	0.1436
499.3876	0.4723	0.2152	0.1143	0.2212
500.3677	0.2078	0.09825	0.1519	0.1063
501.3668	0.1912	0.08396	0.04376	0.09059
502.362	0.1097	0.05931	-0.03038	0.06484
503.3626	0.02991	0.07166	-0.1173	0.07581
504.3712	0.03657	0.0628	0.05828	0.06792
504.8251	-0.1931	-0.1157	-0.04192	0.1436
507.4055	0.1251	0.1655	-0.07317	0.1934
508.5039	NA	NA	0.02376	0.2663
509.4896	-0.9688	-0.8633	-0.1133	-0.3653
510.4249	-0.2151	0.06598	-0.2111	0.07062
511.3694	-0.2057	0.07039	-0.2333	0.07282
511.821	0.03181	-0.069	0.05633	0.07923
512.3507	-0.1736	0.06423	-0.11	0.06836
517.3519	-0.2553	0.3856	-0.5131	0.3821
517.7714	-0.1394	-0.2555	-0.03927	0.2437
518.7798	-0.2195	-0.2583	0.4302	0.2445
519.7637	0.9715	-0.4077	0.5157	-0.3482
520.3607	-0.3947	0.1207	-0.2068	0.1283
520.7646	-0.3239	-0.2735	0.3912	0.2391
521.3546	-0.1804	0.0637	-0.189	0.0726
521.7825	0.007396	-0.2074	0.05633	0.1874
522.3513	0.07448	-0.412	0.09597	-0.4868
522.7651	-0.5877	-0.9623	1.296	-0.8254
523.3501	-0.1096	0.1809	-0.1493	0.1939
527.8367	-0.09051	0.2901	-0.3751	0.3218
528.7658	0.4481	-0.8858	0.7258	-0.7888
529.3496	0.1397	0.08548	0.05925	0.09001
529.7618	0.2034	-0.1297	0.3496	0.122
530.3574	0.1923	0.09915	0.2061	0.1047
531.351	-3.492	-3088	-0.9374	1.73
532.3784	NA	NA	0.1497	0.3636
533.3553	0.1179	0.1154	0.1508	0.1282
533.8123	-0.4314	0.2164	-0.1747	0.2314
534.3562	0.2589	0.1633	0.1647	0.197
538.3486	-0.2309	-0.4811	0.8155	-0.5006
538.7656	0.2497	0.1735	-0.105	0.1826
539.3908	0.1231	0.09951	-0.005054	0.1045
539.7386	0.1251	-0.1686	-0.1326	0.1825
540.3529	0.1005	0.08254	-0.06373	0.08467
540.7596	-0.1644	0.09691	0.02188	0.1036
541.3515	0.08044	0.08887	-0.135	0.09162
541.7463	-0.2749	-0.1486	0.07201	0.1557
542.4023	-0.2379	0.1933	0.2912	0.1805
542.7238	0.2269	-0.2041	-0.09176	0.1995
544.8412	-0.2309	-0.3133	0.02754	0.3788
546.3508	-0.3974	-0.55	-0.7993	-0.6249
546.7625	-0.1659	0.08835	-0.2501	0.09383
548.7563	NA	NA	-0.4436	0.4106
549.3481	-0.08209	0.1443	0.02565	0.1471
553.3529	-0.2195	0.1234	-0.1823	0.1338
555.741	-0.1457	0.1139	0.09094	0.1176
556.7059	-0.007341	-0.1351	-0.1422	0.1364
557.3549	-0.04325	0.139	-0.08673	0.1637
557.6738	-0.1386	-0.08967	-0.0472	0.09484
558.3693	-5.747	-895	0.07597	1.721
558.8196	0.228	-0.05695	0.1061	0.05715
559.7516	0.2543	-0.1983	0.3558	0.2169
559.8354	-0.06932	0.1216	0.2526	0.1281
560.6526	-0.456	-0.2677	-0.3664	0.2639
560.8134	0.2045	-0.1441	-0.06114	0.1545
561.3657	0.02329	0.1009	-0.008712	0.1014
561.7233	-0.01916	0.1479	0.1361	0.1515
562.3624	-0.03972	0.1061	-0.123	0.1089
563.3527	0.03276	0.09715	-0.06718	0.1031
563.7568	0.3983	-0.1955	-0.04808	0.1933
565.6417	0.02612	-0.1679	0.07103	0.1595
566.6501	-0.07615	-0.1232	-0.2397	0.1195
571.664	0.2257	-0.1332	0.1102	0.1338
571.8326	-0.213	0.09272	-0.1326	0.103
572.6138	0.2428	-0.143	-0.06803	0.1166
573.6482	0.1334	-0.2125	0.1163	0.2073
573.8404	-0.3075	0.1527	-0.1342	0.1583
576.6978	0.3002	-0.1496	0.1215	0.1342
578.6115	1.174	-0.5494	0.4054	0.394
578.8405	-0.3766	0.192	NA	NA
580.6323	0.3026	-0.1868	0.01812	0.1274
580.831	-0.256	0.1047	-0.1935	0.08469
581.6309	-0.04676	-0.2339	0.2537	0.2005
585.6196	0.1492	-0.3074	0.01158	0.2715
585.8258	0.002767	0.1026	-0.03038	0.124
586.5983	0.1293	-0.2294	-0.06975	0.2172
586.8236	0.1439	0.2113	0.3298	0.2078
587.6096	-0.1266	-0.1678	0.2297	0.155
587.8267	0.1492	0.1029	-0.06373	0.1172
588.6483	-0.08209	0.1216	-0.06889	0.1208
589.7614	-0.2477	-0.3064	-0.1609	-0.3171
591.7509	0.2303	0.2386	-0.1075	0.2494
592.5896	0.1241	-0.3813	0.0266	0.3539
592.8088	0.1901	0.1348	0.169	0.1356
593.576	0.09547	-0.298	-0.1238	0.2964
593.8075	0.2555	0.1387	0.2653	0.1433
594.5856	-0.05811	0.07235	NA	NA
595.5757	-0.01281	-0.08927	0.03039	0.08475
595.8147	0.2371	0.09614	0.07399	0.0981
596.5923	-0.3056	-0.4254	0.08492	-0.414
597.683	NA	NA	-0.006885	-0.4237
597.8111	0.2337	0.2313	-0.06373	0.2366
598.5727	-0.1682	0.1865	0.001382	0.1795
599.5576	-0.06416	-0.1043	-0.04281	0.09441
600.5596	-0.2209	-0.1303	-0.0646	0.1179
601.5452	0.07746	-0.1634	-0.07743	0.1467
602.7586	0.1577	0.1089	-0.09843	0.1062
