Time	Vertical	Average	NN1	NN2	NN3	NN4	NN5	Tide
20	155.415	251.596	62.511	86.749	109.285	125.298	137.463	75.4511
20.5	161.224	263.897	56.994	80.181	97.43	114.618	132.962	94.6315
21	85.333	250.838	58.139	88.775	102.375	118.169	133.769	115.277
21.5	138.126	224.208	57.426	76.483	94.117	109.001	122.719	135.6947
22	81.491	252.071	57.566	86.081	98.104	112.636	128.554	154.2106
22.5	97.884	261.462	61.785	83.656	106.838	120.533	134.602	169.3063
23	119.513	264.911	46.596	72.069	92.077	107.527	127.465	179.7439
23.5	119.995	235.28	54.681	85.951	99.699	112.588	125.022	184.6677
24	253.007	334.186	68.276	110.497	142.12	160.886	179.945	183.719
24.5	289.632	344.643	59.323	99.384	144.411	162.309	184.958	177.1029
25	307.088	345.799	61.797	91.813	119.008	145.247	172.119	165.2943
25.5	291.849	325.459	72.703	106.024	134.829	153.942	179	149.1209
26	270.713	321.085	78.539	113.584	150.988	177.445	203.515	129.7157
26.5	319.857	275.704	68.626	99.663	140.912	162.433	179.133	108.4385
27	359.805	301.508	60.135	103.653	156.002	173.527	187.599	86.7803
27.5	321.877	331.989	79.359	109.822	146.017	170.371	199.899	66.2585
28	254.572	332.14	64.177	104.991	140.373	159.684	186.164	48.3113
28.5	279.7	353.01	74.347	105.163	143.295	166.807	187.705	34.1961
29	259.374	299.864	46.776	86.147	111.555	136.751	154.031	24.902
29.5	264.012	316.362	80.824	109.262	145.858	166.925	189.691	21.0803
30	226.933	314.71	66.819	100.44	128.841	151.395	168.568	23.3884
30.5	227.797	283.958	69.407	101.341	121.911	140.432	160.007	32.4126
31	252.597	328.02	67.1	101.752	125.263	152.758	176.842	47.652
31.5	228.858	305.903	64.154	90.215	106.941	122.528	140.435	68.2344
32	144.657	298.356	85.797	120.881	151.255	169.62	183.096	92.9816
32.5	191.967	294.695	62.306	89.557	104.828	119.259	135.875	120.4772
33	233.378	300.866	71.893	101.786	132.113	154.583	176.759	149.1475
33.5	232.109	324.751	58.696	82.829	112.276	141.662	163.922	177.3514
34	191.017	328.555	70.959	114.201	149.786	170.442	190.568	203.4747
34.5	206.449	331.202	62.784	103.703	136.056	153.561	178.16	226.0222
35	233.731	315.157	61.489	95.338	117.305	135.23	159.026	243.7033
35.5	207.818	276.316	66.416	93.816	116.738	134.519	156.98	255.5059
36	253.54	271.723	55.889	91.282	119.817	136.525	161.664	260.7547
36.5	281.42	345.934	80.591	115.231	149.674	172.587	207.109	259.3876
37	268.625	329.656	61.287	107.223	140.118	163.383	185.339	252.0917
37.5	294.241	342.653	78.854	110.526	141.277	167.195	184.366	239.2921
38	293.887	316.976	70.765	111.008	137.214	163.196	185.43	221.6787
38.5	347.567	327.006	70.369	108.877	134.568	163.927	192.399	200.201
39	400.538	285.415	62.929	85.019	109.879	134.799	156.684	176.017
39.5	286.264	306.24	68.695	104.184	128.456	150.528	174.454	150.4305
