Hours	ByDa	PR	RWT	Fault	SOA	SOB	SOC	Cable	Field	Hot	REST	Spec	App	Prob	SC	HO	MO	Day
111	62	39	34	172	496	0	0	0	36	12	55	0	6	111	0	26	45	3
114	35	23	29	162	258	0	0	30	34	16	0	0	4	102	0	35	40	4
70	74	27	19	168	39	0	1	0	27	9	0	0	2	66	3	18	5	5
114	97	20	19	208	376	5	1	0	26	28	4	0	9	63	2	32	15	1
87	83	34	31	177	107	1	1	2	9	14	14	0	5	112	1	23	45	2
105	49	36	69	155	78	2	1	2	25	16	13	0	2	83	2	23	20	3
114	57	33	30	151	385	0	0	2	15	9	3	0	3	63	0	31	55	4
87	44	42	14	189	356	0	0	2	11	10	0	0	0	73	0	10	15	5
107	46	25	16	211	219	2	0	60	18	11	31	0	1	66	0	30	40	1
99	51	21	23	170	464	0	0	3	24	9	23	0	3	59	0	29	30	2
106	45	35	26	305	283	12	1	39	92	12	42	0	3	75	0	32	20	3
117	20	30	32	255	231	8	0	9	31	18	0	0	4	71	0	28	40	4
48	0	0	0	30	0	0	0	0	18	8	0	0	4	17	3	17	20	5
112	174	59	109	390	280	0	0	41	32	17	0	0	5	59	0	17	40	1
91	27	15	22	96	263	11	1	18	24	14	0	0	8	36	0	25	0	2
116	74	50	72	272	315	4	1	23	38	16	0	0	30	133	0	24	50	3
124	39	32	38	177	333	5	0	0	36	16	22	0	4	98	0	40	15	4
87	36	53	13	244	66	0	3	205	29	17	0	0	9	78	0	19	15	5
93	70	46	43	210	52	0	35	0	25	8	60	0	8	89	0	24	10	1
123	63	34	35	235	401	0	0	306	19	17	0	0	4	80	0	35	40	2
108	66	23	68	166	108	3	1	0	17	6	0	0	5	68	0	30	45	3
116	78	27	51	226	277	0	1	26	22	19	3	0	10	67	0	36	25	4
75	40	32	40	174	255	0	0	376	17	11	0	0	4	73	0	30	30	5
114	44	21	38	197	390	2	5	0	19	11	31	0	5	32	7	23	45	1
116	38	53	75	215	429	4	5	82	15	9	38	1	13	37	8	21	35	2
116	68	46	55	214	330	4	6	0	19	5	0	0	12	34	5	25	25	3
108	55	78	74	215	349	5	3	0	12	12	0	2	6	47	11	31	50	4
63	56	34	27	135	121	0	0	0	21	0	0	1	3	20	0	10	15	5
115	117	35	86	234	284	0	7	0	18	10	10	0	6	22	99	29	35	1
97	88	81	76	211	314	3	0	366	18	9	22	4	14	26	2	34	15	2
103	76	46	65	276	319	3	6	47	24	9	34	8	4	30	4	35	5	3
