H	D	L	B	J	F	N	A	I	E	M	C	K	G	O	y1	y2	y3	y4
-1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	.49	.54	.46	.45
1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	.55	.60	.57	.58
-1	1	-1	-1	1	1	1	-1	1	-1	1	1	-1	1	-1	.07	.09	.11	.08
1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	.16	.16	.19	.19
-1	-1	1	1	-1	1	1	-1	1	1	-1	-1	1	1	-1	.13	.22	.20	.23
1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	.16	.17	.13	.12
-1	1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	.24	.22	.19	.25
1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	.13	.19	.19	.19
-1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	.08	.10	.14	.18
1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	.07	.04	.19	.18
-1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	.48	.49	.44	.41
1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	.54	.53	.53	.54
-1	-1	1	1	-1	1	1	1	-1	-1	1	1	-1	-1	1	.13	.17	.21	.17
1	-1	-1	1	1	1	-1	1	1	-1	-1	1	1	-1	-1	.28	.26	.26	.30
-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	.34	.32	.30	.41
1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	.58	.62	.59	.54
