Sex	Age	Trial1	Trial2	Trial3	Trial4	Trial5
M	31	0.051	0.023	0.106	0.076	0.013
M	30	0.074	0.006	0.003	0.020	0.022
M	30	0.051	0.094	0.084	0.176	0.103
M	27	0.182	0.166	-0.073	-0.044	0.029
M	30	0.077	0.001	0.000	-0.027	-0.200
M	28	0.103	0.065	0.063	0.059	0.059
M	34	-0.066	0.031	0.036	0.110	0.045
M	28	0.204	-0.106	-0.090	-0.040	-0.030
M	28	-0.231	-0.124	-0.065	-0.190	-0.211
M	33	-0.052	-0.011	-0.025	-0.014	-0.059
F	17	-0.091	-0.128	-0.014	0.075	0.090
F	24	-0.005	0.051	0.051	0.125	0.084
F	7	0.341	-0.094	0.353	0.373	0.010
M	11	-0.211	0.273	-0.051	0.074	-0.025
F	38	0.194	0.197	0.132	0.170	0.119
M	45	0.008	-0.038	0.064	-0.164	0.057
M	5	0.626	0.256	0.217	0.550	0.363
F	7	-0.002	-0.034	-0.029	-0.001	0.143
F	10	0.346	0.068	0.157	0.082	0.056
F	10	0.276	-0.095	0.081	-0.145	-0.006
M	31	0.098	0.070	0.063	0.014	0.082
M	33	-0.091	0.029	-0.018	0.128	0.055
M	52	0.136	0.175	0.040	0.093	0.137
F	13	-0.046	-0.123	0.094	0.011	-0.021
M	37	-0.075	-0.012	0.018	-0.044	-0.060
M	10	0.186	0.053	0.198	0.119	0.018
M	11	-0.045	0.269	0.088	0.013	0.085
M	12	-0.270	-0.782	0.036	-0.007	0.122
M	13	-0.108	0.138	0.039	0.017	0.033
M	41	0.068	0.081	0.076	0.079	0.066
M	7	0.562	0.532	0.376	0.423	0.183
F	39	-0.048	-0.068	-0.003	0.104	0.050
M	11	-0.135	-0.017	-0.045	-0.010	0.066
M	10	0.149	0.052	-0.042	0.217	-0.046
M	2	0.709	2.004	0.896	1.037	1.149
M	37	-0.413	-0.107	-0.208	-0.186	-0.185
F	38	0.106	0.030	-0.035	0.065	0.044
F	6	0.115	-0.007	0.271	0.022	-0.130
M	11	0.011	-0.007	0.087	0.124	0.125
F	45	0.116	0.159	0.093	0.160	0.123
F	13	-0.085	0.163	0.044	0.006	-0.025
F	5	0.319	0.080	0.364	0.463	0.588
F	45	0.213	0.119	0.147	0.072	0.130
M	10	0.073	0.170	0.104	0.028	-0.079
M	12	0.019	-0.109	-0.061	0.015	0.003
F	14	0.313	0.170	0.170	0.145	0.130
F	13	-0.364	-0.063	-0.125	0.003	-0.059
M	13	0.149	0.124	0.013	0.155	0.045
M	13	0.115	-0.020	0.033	0.083	0.071
M	11	0.151	0.114	0.069	0.163	-0.002
F	11	-0.107	-0.046	-0.015	-0.073	-0.123
M	39	0.025	-0.026	0.058	0.061	-0.004
F	36	0.211	0.112	0.098	0.043	0.075
F	11	0.398	0.424	0.374	0.361	0.449
M	41	0.221	0.160	0.145	-0.020	-0.140
M	7	0.015	0.025	0.166	0.083	0.047
M	42	-0.124	0.017	0.077	0.031	-0.003
M	9	0.004	-0.110	0.260	-0.121	0.130
M	8	0.186	0.224	0.002	0.041	0.117
F	40	0.148	-0.051	0.033	-0.275	-0.118
M	40	-0.030	0.288	0.198	0.244	0.143
M	8	0.176	-0.198	0.273	0.129	0.261
M	7	0.136	0.204	0.179	-0.008	0.415
F	8	0.168	-0.375	-0.147	-0.529	-0.160
M	40	0.154	0.138	0.106	0.034	0.077
M	6	-0.044	-0.047	-0.035	0.013	0.025
F	8	-0.107	-0.339	0.042	-0.129	-0.123
F	2	-0.223	-0.234	-0.402	-0.417	-0.360
M	13	-0.048	0.049	-0.029	0.036	0.121
F	12	0.296	0.090	0.116	0.169	0.154
M	45	0.141	0.117	0.130	-0.078	0.064
M	9	0.146	-0.052	-0.006	-0.121	0.344
F	40	-0.002	0.172	-0.127	0.029	-0.195
M	38	-0.051	0.032	0.087	0.110	0.061
M	13	0.063	0.149	-0.062	0.151	0.044
F	10	-0.047	-0.198	-0.006	-0.088	-0.215
F	14	0.184	0.314	0.186	0.111	0.246
F	10	0.255	0.095	0.209	0.191	0.088
M	7	0.425	0.142	0.183	-0.027	-0.110
M	8	0.034	0.109	0.268	0.214	0.054
M	37	0.121	0.056	0.113	0.092	0.125
F	9	-0.397	0.027	0.043	-0.073	0.128
F	12	0.093	0.039	-0.047	0.150	0.094
M	11	-0.050	-0.078	0.042	0.021	0.016
M	39	0.118	0.096	0.057	0.017	-0.021
F	34	0.135	0.062	0.054	0.147	0.113
F	6	-0.303	-0.002	0.066	-0.103	-0.241
M	4	0.352	0.354	0.065	0.280	0.352
M	28	0.076	0.065	0.024	0.037	0.025
M	29	0.055	-0.020	-0.014	-0.093	-0.019
M	6	-0.225	0.000	-0.147	-0.186	-0.045
F	10	-0.038	0.070	-0.028	-0.027	0.221
M	6	-0.037	-0.226	-0.499	0.026	-0.178
M	38	0.153	0.016	-0.045	0.025	0.029
F	8	-0.023	-0.255	0.090	-0.213	-0.106
M	9	0.053	-0.079	-0.096	-0.033	-0.093
M	9	-0.049	0.004	0.052	0.094	-0.025
M	13	-0.052	-0.160	-0.135	-0.046	-0.017
M	6	0.051	0.072	0.247	0.394	-0.009
F	35	0.064	0.078	0.142	0.090	0.086
F	11	0.203	0.186	0.211	0.180	0.111
M	45	0.210	0.194	0.170	0.130	0.134
F	7	-0.070	-0.157	-0.221	-0.200	-0.255
F	27	0.065	0.030	-0.178	-0.101	-0.030
M	24	0.077	0.066	0.098	0.106	0.096
F	7	0.134	0.224	-0.045	-0.176	0.057
F	49	0.084	0.061	0.020	0.033	0.022
M	13	-0.133	0.104	0.066	0.001	0.030
M	42	0.065	-0.045	0.026	0.093	0.110
F	8	0.023	-0.119	-0.162	-0.041	-0.092
M	5	0.067	-0.301	0.033	-0.400	-0.080
F	39	0.102	0.152	0.266	0.277	0.036
M	36	0.055	-0.015	0.061	0.107	0.029
