Strength	Time	Temperature
15.00	1	180
17.00	1	180
15.50	1	180
16.50	1	180
15.50	1	225
15.00	1	225
16.00	1	225
14.50	1	225
15.00	1	250
14.50	1	250
12.50	1	250
11.00	1	250
14.00	1	275
13.00	1	275
14.00	1	275
11.50	1	275
14.00	2	180
16.00	2	180
13.00	2	180
13.50	2	180
13.00	2	225
13.50	2	225
12.50	2	225
12.50	2	225
12.50	2	250
12.00	2	250
11.50	2	250
12.00	2	250
13.00	2	275
11.50	2	275
13.00	2	275
12.50	2	275
13.50	4	180
17.50	4	180
17.50	4	180
13.50	4	180
12.50	4	225
12.50	4	225
15.00	4	225
13.00	4	225
12.00	4	250
13.00	4	250
12.00	4	250
13.50	4	250
10.00	4	275
11.50	4	275
11.00	4	275
9.50	4	275
15.00	8	180
15.00	8	180
15.50	8	180
16.00	8	180
13.00	8	225
10.50	8	225
13.50	8	225
14.00	8	225
12.50	8	250
12.00	8	250
11.50	8	250
11.50	8	250
6.50	8	275
5.50	8	275
6.00	8	275
6.00	8	275
18.50	16	180
17.00	16	180
15.30	16	180
16.00	16	180
13.00	16	225
14.00	16	225
12.50	16	225
11.00	16	225
12.00	16	250
12.00	16	250
11.50	16	250
12.00	16	250
6.00	16	275
6.00	16	275
5.00	16	275
5.50	16	275
12.50	32	180
13.00	32	180
16.00	32	180
12.00	32	180
11.00	32	225
9.50	32	225
11.00	32	225
11.00	32	225
11.00	32	250
10.00	32	250
10.50	32	250
10.50	32	250
2.70	32	275
2.70	32	275
2.50	32	275
2.40	32	275
13.00	48	180
13.50	48	180
16.50	48	180
13.60	48	180
11.50	48	225
10.50	48	225
13.50	48	225
12.00	48	225
7.00	48	250
6.90	48	250
8.80	48	250
7.90	48	250
1.20	48	275
1.50	48	275
1.00	48	275
1.50	48	275
13.00	64	180
12.50	64	180
16.50	64	180
16.00	64	180
11.00	64	225
11.50	64	225
10.50	64	225
10.00	64	225
7.27	64	250
7.50	64	250
6.70	64	250
7.60	64	250
1.50	64	275
1.00	64	275
1.20	64	275
1.20	64	275
