Range	SoundPressure
8.5	201.2
9.1	204.3
10.8	208.5
12	231.7
8.9	213.4
9.3	213.2
9.9	213.2
1.6	200.4
1.8	199.3
1.5	188.3
3.7	198.7
3.1	205.3
1.3	193.1
1.2	193.3
4	193.8
3.8	198.3
4.9	202
5.8	203.3
4.7	200.5
4.4	200.1
5.4	202.2
5.8	203.7
5.5	195.9
5.2	208.3
4.7	198
5.6	199.1
5.4	194.7
4.7	196.9
4.7	199.7
5.5	203.1
4.8	201.1
4.5	200.7
5.2	201.2
5.2	200.4
4.9	200.4
4.6	200.8
4.7	201.2
5.5	204.5
4.5	200.6
4.8	200
4.7	198.2
5.1	196.4
4.8	198.6
13	205.2
10	205.8
11.4	206.3
1.1	182.8
11.4	210.2
1.1	198.1
11.6	210.5
13.6	213.8
10.3	210.7
11.8	212.3
11.8	209.7
11.8	209.9
11.8	211.2
11.8	209.6
11.8	210
12.4	210.2
9.1	207.6
8.8	206.8
14.2	211.7
11.3	209.7
7	204.1
6	203.8
5.6	204.7
4.9	200.8
12.9	212.2
11.5	213.2
12.9	215
14.8	213.8
3.9	203.4
3.8	203.3
3.8	204.2
3.8	205.6
3.8	202.5
3.9	204.2
3.6	204.8
3.5	204.1
3.7	201.2
3.2	201.2
3.1	198.9
5.1	211.9
5.8	213
6	214.3
5.9	211.9
5.2	212.2
7.9	206.8
6.8	209.4
6.8	209.5
7.3	207.1
6.3	205.2
7.3	207
7.3	204.6
5.2	199.9
5.8	206.7
5.4	209.8
5.1	207.9
4.8	205.9
3.8	202.3
3.7	203
3.8	204.8
3.4	202.4
3.9	205.8
3.5	202.8
3.6	206.2
3.5	201.7
3.6	203.2
3.2	201.6
3.2	200.8
7	204.2
6.7	202.9
6.5	205
6.4	203.8
6.5	203.8
6.5	205.5
5.7	202.7
6.6	204.5
5.4	205.3
3.3	199.2
3.7	197.7
3	202.4
3	198.7
3.2	199.1
3	199.2
2.9	200
3.2	202
3.2	202.2
2.9	201.4
2.9	201.5
3.1	204
2.9	205.1
3	203.7
2.7	202.7
9.5	212.4
2.4	198
2.4	196.2
2.5	197.1
2.7	195.2
2.9	196.4
2.7	196.4
3.1	198
2.9	200.1
2.8	200.6
3.1	198.9
2.7	198.4
2.9	197
2.8	199.6
2.6	196.8
2.7	199.1
2.6	201.5
2.9	201.3
