Dose	Implants	Frequency
0	1	6
0	2	11
0	3	4
0	4	9
0	5	9
0	6	11
0	7	17
0	8	28
0	9	41
0	10	69
0	11	83
0	12	120
0	13	112
0	14	80
0	15	52
0	16	25
0	17	15
0	18	6
0	19	0
0	20	0
0	21	0
20	1	5
20	2	2
20	3	4
20	4	8
20	5	5
20	6	6
20	7	10
20	8	9
20	9	10
20	10	14
20	11	30
20	12	45
20	13	56
20	14	38
20	15	31
20	16	27
20	17	4
20	18	1
20	19	2
20	20	0
20	21	0
30	1	6
30	2	7
30	3	9
30	4	11
30	5	10
30	6	15
30	7	19
30	8	22
30	9	36
30	10	78
30	11	101
30	12	99
30	13	133
30	14	82
30	15	52
30	16	27
30	17	9
30	18	3
30	19	1
30	20	0
30	21	2
45	1	1
45	2	0
45	3	2
45	4	1
45	5	2
45	6	2
45	7	2
45	8	1
45	9	8
45	10	4
45	11	20
45	12	20
45	13	13
45	14	12
45	15	7
45	16	1
45	17	1
45	18	1
45	19	0
45	20	0
45	21	0
60	1	4
60	2	3
60	3	6
60	4	8
60	5	10
60	6	13
60	7	17
60	8	20
60	9	31
60	10	48
60	11	85
60	12	91
60	13	111
60	14	67
60	15	40
60	16	20
60	17	13
60	18	5
60	19	0
60	20	0
60	21	0
75	1	0
75	2	0
75	3	0
75	4	0
75	5	2
75	6	0
75	7	0
75	8	3
75	9	7
75	10	4
75	11	8
75	12	8
75	13	8
75	14	3
75	15	1
75	16	0
75	17	0
75	18	0
75	19	0
75	20	0
75	21	0
90	1	0
90	2	1
90	3	3
90	4	1
90	5	1
90	6	1
90	7	2
90	8	6
90	9	3
90	10	11
90	11	9
90	12	15
90	13	14
90	14	11
90	15	3
90	16	2
90	17	0
90	18	0
90	19	0
90	20	0
90	21	0
