TankTemp	GasTemp	TankPres	GasPres	HC
28.00	33.00	3.00	3.49	22.00
24.00	48.00	2.78	3.22	27.00
33.00	53.00	3.32	3.42	29.00
29.00	52.00	3.00	3.28	29.00
33.00	44.00	3.28	3.58	27.00
31.00	36.00	3.10	3.26	24.00
32.00	34.00	3.16	3.16	23.00
34.00	35.00	3.22	3.22	23.00
33.00	51.00	3.18	3.18	26.00
33.00	50.00	3.12	3.02	19.00
34.00	51.00	3.20	3.07	21.00
37.00	51.00	3.39	3.08	22.00
36.00	54.00	3.38	3.43	28.00
34.00	54.00	3.17	3.40	27.00
36.00	54.00	3.20	3.41	27.00
39.00	57.00	3.37	3.49	28.00
34.00	36.00	3.00	3.00	21.00
35.00	35.00	3.03	3.03	21.00
36.00	33.00	3.07	3.00	21.00
34.00	35.00	2.90	2.95	20.00
59.00	56.00	4.78	4.59	33.00
59.00	57.00	4.78	4.64	33.00
60.00	59.00	4.80	4.72	35.00
60.00	60.00	4.72	4.72	34.00
60.00	60.00	4.72	4.72	28.00
60.00	60.00	4.72	4.72	31.00
59.00	60.00	4.60	4.41	32.00
57.00	60.00	4.32	4.32	28.00
57.00	59.00	4.32	4.32	27.00
60.00	60.00	4.53	4.53	34.00
61.00	60.00	4.64	4.53	34.00
62.00	60.00	4.74	4.53	33.00
60.00	59.00	4.52	4.47	33.00
60.00	60.00	4.52	4.47	33.00
59.00	60.00	4.47	4.34	33.00
60.00	59.00	4.45	4.45	33.00
61.00	59.00	4.50	4.40	34.00
59.00	58.00	4.36	4.23	35.00
60.00	59.00	4.40	4.36	36.00
60.00	60.00	4.40	4.36	36.00
60.00	61.00	4.31	4.42	31.00
60.00	62.00	4.31	4.42	34.00
60.00	61.00	4.31	4.31	32.00
59.00	60.00	4.19	4.27	31.00
60.00	36.00	4.27	3.94	23.00
59.00	36.00	4.20	3.80	24.00
61.00	39.00	4.39	4.13	25.00
62.00	38.00	4.41	3.49	24.00
58.00	35.00	4.10	3.29	21.00
61.00	57.00	4.32	4.21	33.00
59.00	60.00	4.17	4.17	31.00
60.00	60.00	4.19	4.19	31.00
61.00	61.00	4.27	4.27	32.00
62.00	61.00	4.39	4.39	32.00
60.00	61.00	4.19	4.27	32.00
60.00	61.00	4.19	4.19	32.00
90.00	64.00	7.32	6.70	40.00
92.00	64.00	7.60	6.58	38.00
90.00	56.00	7.32	7.20	45.00
90.00	60.00	7.32	7.20	46.00
92.00	89.00	7.45	7.37	58.00
92.00	92.00	7.45	7.45	58.00
92.00	92.00	7.45	7.45	55.00
92.00	92.00	7.45	7.45	54.00
92.00	90.00	7.38	7.26	55.00
91.00	92.00	7.26	7.26	52.00
62.00	68.00	3.99	4.22	30.00
62.00	62.00	3.99	3.99	29.00
61.00	62.00	3.91	4.08	29.00
61.00	62.00	3.91	3.99	28.00
59.00	44.00	3.75	3.54	22.00
59.00	42.00	3.75	3.45	22.00
93.00	68.00	7.07	6.38	35.00
92.00	66.00	6.93	6.25	32.00
88.00	65.00	6.48	5.80	31.00
91.00	69.00	6.70	5.92	32.00
92.00	87.00	6.80	6.48	43.00
91.00	89.00	6.70	6.60	45.00
90.00	90.00	6.60	6.60	46.00
61.00	62.00	4.10	4.20	30.00
63.00	62.00	4.30	4.30	37.00
60.00	61.00	4.02	4.20	31.00
62.00	62.00	4.20	4.20	35.00
60.00	61.00	4.02	4.10	37.00
59.00	61.00	3.98	4.02	36.00
60.00	61.00	4.02	4.11	38.00
60.00	61.00	4.02	4.11	34.00
59.00	61.00	3.98	4.11	35.00
60.00	62.00	4.02	4.11	36.00
60.00	62.00	4.02	3.98	33.00
61.00	63.00	4.11	4.11	26.00
59.00	62.00	3.98	4.20	29.00
59.00	63.00	3.98	4.30	29.00
61.00	62.00	4.11	4.20	28.00
61.00	62.00	4.11	4.11	28.00
59.00	62.00	3.98	4.02	27.00
59.00	62.00	3.98	3.98	28.00
62.00	62.00	4.20	4.20	30.00
61.00	62.00	4.11	4.20	31.00
60.00	61.00	4.02	4.02	29.00
59.00	61.00	3.98	4.11	28.00
60.00	61.00	4.02	4.02	29.00
60.00	61.00	4.02	4.11	30.00
60.00	61.00	4.02	4.02	33.00
60.00	61.00	4.02	4.11	30.00
61.00	61.00	4.11	4.11	28.00
60.00	61.00	4.02	3.98	29.00
60.00	62.00	4.02	4.02	29.00
62.00	63.00	4.62	4.53	35.00
60.00	62.00	4.48	4.62	34.00
59.00	62.00	4.39	4.53	34.00
40.00	35.00	2.98	2.80	22.00
37.00	35.00	2.80	2.68	20.00
37.00	35.00	2.73	2.64	19.00
34.00	35.00	2.62	2.52	17.00
35.00	35.00	2.59	2.62	19.00
35.00	35.00	2.59	2.59	16.00
37.00	37.00	2.73	2.59	22.00
35.00	36.00	2.59	2.62	18.00
34.00	35.00	2.62	2.52	19.00
35.00	35.00	3.23	3.06	21.00
35.00	35.00	3.23	3.12	22.00
36.00	35.00	3.27	3.27	23.00
37.00	35.00	3.26	3.12	22.00
37.00	36.00	3.26	3.12	23.00
