Rent	AllRent	Cows	Pasture	Liming
18.38	15.50	17.25	0.24	No
20.00	22.29	18.51	0.20	Yes
11.50	12.36	11.13	0.12	No
25.00	31.84	 5.54	0.12	Yes
52.50	83.90	 5.44	0.04	No
82.50	72.25	20.37	0.05	Yes
25.00	27.14	31.20	0.27	No
30.67	40.41	 4.29	0.10	Yes
12.00	12.42	 8.69	0.41	No
61.25	69.42	 6.63	0.04	Yes
60.00	48.46	27.40	0.12	No
57.50	69.00	31.23	0.08	No
31.00	26.09	28.50	0.21	Yes
60.00	62.83	29.98	0.17	No
72.50	77.06	13.59	0.05	No
60.33	58.83	45.46	0.16	No
49.75	59.48	35.90	0.32	No
 8.50	 9.00	 8.89	0.08	No
36.50	20.64	23.81	0.24	No
60.00	81.40	 4.54	0.05	Yes
16.25	18.92	29.62	0.72	No
50.00	50.32	21.36	0.19	Yes
11.50	21.33	 1.53	0.10	Yes
35.00	46.85	 5.42	0.08	Yes
75.00	65.94	22.10	0.09	No
31.56	38.68	14.55	0.17	Yes
48.50	51.19	 7.59	0.13	Yes
77.50	59.42	49.86	0.13	No
21.67	24.64	11.46	0.21	Yes
19.75	26.94	 2.48	0.10	Yes
56.00	46.20	31.62	0.26	No
25.00	26.86	53.73	0.43	No
40.00	20.00	40.18	0.56	No
56.67	62.52	15.89	0.05	No
51.79	56.00	14.25	0.15	Yes
96.67	71.41	21.37	0.05	No
50.83	65.00	13.24	0.08	Yes
34.33	36.28	 5.85	0.10	Yes
48.75	59.88	32.99	0.21	No
25.80	23.62	28.89	0.24	Yes
20.00	24.20	 6.29	0.06	Yes
16.00	17.09	33.34	0.66	No
48.67	44.56	16.70	0.15	Yes
20.78	34.46	 4.20	0.03	Yes
32.50	31.55	23.47	0.19	Yes
19.00	26.94	 8.28	0.10	Yes
51.50	58.71	 7.40	0.04	Yes
49.17	65.74	 7.71	0.02	Yes
85.00	69.05	46.18	0.22	Yes
58.75	57.54	14.98	0.11	Yes
19.33	21.73	 6.58	0.06	No
 5.00	 6.17	13.68	0.18	No
65.00	51.00	50.50	0.24	No
20.00	18.25	16.12	0.32	No
62.50	69.88	31.48	0.07	No
35.00	26.68	58.60	0.23	No
99.17	75.73	35.43	0.05	No
40.25	41.77	 4.53	0.08	Yes
39.17	48.50	 6.82	0.08	Yes
37.50	21.89	43.70	0.36	No
26.25	38.33	 2.83	0.04	Yes
52.14	53.95	42.54	0.25	No
22.50	17.17	24.16	0.36	No
90.00	82.00	 7.89	0.03	Yes
28.00	40.60	 3.27	0.02	Yes
50.00	53.89	53.16	0.24	No
24.50	54.17	 5.57	0.06	Yes
