Site	Sand	Silt	Clay
1	23.5	46.2	30.3
1	36.4	36	27.6
1	11.8	47.3	40.9
1	27	40.8	32.2
1	35.4	30.9	33.7
1	38.5	34.9	26.6
1	34.1	39.8	26.1
1	17.7	48.1	34.2
1	39	35.6	25.4
1	15.8	48.8	35.4
1	6.1	45.2	48.7
2	24.1	40	35.9
2	18.3	48.9	32.8
2	14.8	48.7	36.5
2	17.8	44.5	37.7
2	35.4	30.3	34.3
2	24.8	40.1	35.1
2	17.4	46.4	36.2
2	20	42.3	37.7
2	37.6	34	28.4
2	29.7	41.9	28.4
2	26.1	34.1	39.8
3	24.1	41.9	34
3	22.7	40.7	36.6
3	16	44	40
3	29.2	40.7	30.1
3	29.1	32.3	38.6
3	33	37	30
3	27	44.3	28.7
3	23.7	41.8	34.5
3	24	41.4	34.6
3	23.8	41.5	34.7
3	37.5	29.7	32.8
4	10.6	41.1	48.3
4	10	40.4	49.6
4	19.7	39.9	40.4
4	15.9	41.1	43
4	19.1	31.9	49
4	7.9	43	49.1
4	18.4	42	39.6
4	15.2	40.3	44.5
4	15.6	42.2	42.2
4	11.1	50.7	38.2
4	7	33.4	59.6
5	7.1	48.6	44.3
5	4.7	50.2	45.1
5	4.4	51.2	44.4
5	8.3	47	44.7
5	5.1	42.8	52.1
5	11.4	46.6	42
5	11.5	46.7	41.8
5	5.7	48.3	46
5	6.6	47.1	46.3
5	14.1	48.8	37.1
5	6.8	38.3	54.9
6	19.3	43.7	37
6	27.7	41	31.3
6	21.5	44.4	34.1
6	25.7	44.6	29.7
6	25.2	35.7	39.1
6	13.6	50.3	36.1
6	23.1	44.5	32.4
6	24.1	42.5	33.4
6	13.1	48.6	38.3
6	14.8	48.5	36.7
6	24.3	35.8	39.9
7	14.7	47	38.3
7	18.2	46.4	35.4
7	11.1	46.3	42.6
7	14.6	47.1	38.3
7	17.8	36.8	45.4
7	11.4	54.6	34
7	12.4	43	44.6
7	17.7	43.7	38.6
7	14.4	43.7	41.9
7	10.9	45.1	44
7	9.6	36.1	54.3
8	11.9	48	40.1
8	13.5	47.9	38.6
8	12	49.9	38.1
8	12	48.2	39.8
8	13.4	40.6	46
8	11.1	49.5	39.4
8	12	46.4	41.6
8	10.9	47.7	41.4
8	11.9	48.9	39.2
8	13.5	47	39.5
8	10.7	37.1	52.2
