96Gen Election, Clinton96, Dole96, Perot96, Total
Alachua, 40144, 25303, 8072, 74484
Baker, 2273, 3684, 667, 6634
Bay, 17020, 28290, 5922, 51566
Bradford, 3356, 4038, 819, 8247
Brevard, 80416, 87980, 25249, 195055
Broward, 320736, 142834, 38964, 505105
Calhoun, 1794, 1717, 630, 4158
Charlotte, 27121, 27836, 7783, 63014
Citrus, 22042, 20114, 7244, 49585
Clay, 13246, 30332, 3281, 47035
Collier, 23182, 42590, 6320, 72511
Columbia, 6691, 7588, 1970, 16326
Dade, 317378, 209634, 24722, 553491
DeSoto, 3219, 3272, 965, 7485
Dixie, 1731, 1398, 652, 3795
Duval, 112258, 126857, 13844, 253943
Escambia, 37768, 60839, 8587, 107687
Flagler, 9583, 8232, 2185, 20075
Franklin, 2095, 1563, 878, 4569
Gadsden, 9405, 3813, 938, 14193
Gilchrist, 1985, 1939, 841, 4795
Glades, 1530, 1361, 521, 3431
Gulf, 2480, 2424, 1054, 5986
Hamilton, 1734, 1518, 406, 3670
Hardee, 2417, 2926, 851, 6204
Hendry, 3882, 3855, 1135, 8896
Hernando, 28520, 22039, 7272, 58055
Highlands, 14244, 15608, 3739, 33699
Hillsborough, 144223, 136621, 25154, 308190
Holmes, 2310, 3248, 1208, 6801
Indian River, 16373, 22709, 4635, 43963
Jackson, 6665, 7187, 1602, 15509
Jefferson, 2543, 1851, 393, 4808
Lafayette, 829, 1166, 316, 2322
Lake, 25750, 35089, 8813, 73911
Lee, 65692, 80882, 18389, 165923
Leon, 50058, 33914, 6672, 91685
Levy, 4938, 4299, 1774, 11065
Liberty, 868, 913, 376, 2164
Madison, 2791, 2195, 578, 5584
Manatee, 41835, 44059, 10360, 96741
Marion, 37033, 41397, 11340, 90146
Martin, 20851, 28516, 5005, 54646
Monroe, 15219, 12021, 4817, 32450
Nassau, 7276, 12134, 1657, 21159
Okaloosa, 16434, 40631, 5432, 62963
Okeechobee, 4824, 3415, 1666, 9936
Orange, 105513, 106026, 18191, 231061
Osceola, 21870, 18335, 6091, 46484
Palm Beach, 230621, 133762, 30739, 397231
Pasco, 66472, 48346, 18011, 133457
Pinellas, 184728, 152125, 36990, 376218
Polk, 66735, 67943, 14991, 150140
Putnam, 12008, 9781, 3272, 25145
Santa Rosa, 10923, 26244, 4957, 42336
Sarasota, 63648, 69198, 14939, 148950
Seminole, 45051, 59778, 9357, 114878
St Johns, 16713, 27311, 4205, 48539
St Lucie, 36168, 28892, 8482, 73897
Sumter, 7014, 5960, 2375, 15397
Suwannee, 4479, 5742, 1874, 12144
Taylor, 3583, 3188, 1140, 7997
Union, 1388, 1636, 425, 3462
Volusia, 78905, 63067, 17319, 160118
Wakulla, 3054, 2931, 1091, 7165
Walton, 5341, 7706, 2342, 15514
Washington, 2992, 3522, 1287, 7859
