County ,PctRepubReport, Gary Bauer , George W. Bush , Steve Forbes , Orrin Hatch , Alan Keyes , John McCain ,,,PctDemReport, Bill Bradley , Al Gore 
Alachua ,100.00%,34,"4,735",64,19,582,"1,544",,,100.00%,"2,994","10,345"
Baker ,100.00%,0,236,0,0,11,26,,,100.00%,389,556
Bay ,100.00%,16,"3,253",20,9,216,846,,,100.00%,999,"2,120"
Bradford ,100.00%,2,415,2,0,33,40,,,100.00%,372,763
Brevard ,100.00%,101,"19,703",223,46,"1,853","6,334",,,100.00%,"2,987","11,684"
Broward ,100.00%,465,"35,436",799,177,"2,443","11,777",,,100.00%,"11,893","79,787"
Calhoun ,100.00%,0,78,0,0,7,22,,,100.00%,237,429
Charlotte ,100.00%,47,"7,872",102,27,403,"2,155",,,100.00%,687,"3,638"
Citrus ,100.00%,31,"5,194",63,19,528,"1,776",,,100.00%,"1,085","3,732"
Clay ,100.00%,31,"7,455",54,8,367,"1,347",,,100.00%,655,"1,830"
Collier ,100.00%,109,"16,411",207,33,671,"3,992",,,100.00%,"1,107","3,802"
Columbia ,100.00%,4,"1,050",10,5,90,152,,,100.00%,658,"1,518"
Desoto ,100.00%,1,425,6,1,29,69,,,100.00%,278,641
Dixie ,100.00%,0,80,0,1,3,14,,,100.00%,195,418
Duval ,100.00%,106,"20,861",161,37,"1,292","2,661",,,100.00%,"6,065","20,998"
Escambia ,100.00%,56,"10,275",86,16,"1,769","3,484",,,100.00%,"2,266","6,334"
Flagler ,100.00%,15,"2,405",26,7,112,"1,109",,,100.00%,449,"2,243"
Franklin ,100.00%,0,153,0,0,9,36,,,100.00%,149,340
Gadsden ,100.00%,1,291,2,2,44,72,,,100.00%,395,"2,792"
Gilchrist ,100.00%,2,214,2,2,38,37,,,100.00%,228,466
Glades ,100.00%,2,180,4,0,4,28,,,100.00%,146,337
Gulf ,100.00%,1,226,2,2,9,44,,,100.00%,401,705
Hamilton ,100.00%,0,76,0,0,9,14,,,100.00%,150,425
Hardee ,100.00%,1,270,2,0,13,46,,,100.00%,282,564
Hendry ,100.00%,3,436,9,2,22,82,,,100.00%,269,595
Hernando ,100.00%,32,"5,660",49,11,315,"1,694",,,100.00%,928,"3,853"
Highlands ,100.00%,36,"4,384",38,8,188,882,,,100.00%,551,"2,167"
