County, Democrat, Republican, American Reform, Christian, Constitution, Family Values, FL Conservative, Socialist Workers, Green, Independent, Libertarian, Natural Law, Reform, Reform Silly, Socialist, Southern, We the People, Workers World, No Party Affiliation, Total, Precincts
Alachua, 64135, 34319, 14, 0, 4, 2, 0, 4, 198, 1639, 370, 12, 91, 0, 5, 3, 1, 0, 20070, 120867, 53
Baker, 10261, 1684, 0, 0, 0, 0, 0, 0, 0, 58, 3, 0, 4, 0, 0, 0, 0, 0, 342, 12352, 8
Bay, 44209, 34286, 5, 0, 1, 0, 0, 0, 8, 0, 89, 2, 55, 1, 1, 0, 0, 0, 14092, 92749, 47
Bradford, 9639, 2832, 0, 0, 1, 1, 0, 0, 4, 96, 8, 0, 3, 0, 0, 0, 0, 0, 963, 13547, 20
Brevard, 107840, 131427, 13, 3, 6, 6, 3, 5, 98, 6815, 494, 15, 148, 5, 5, 7, 6, 0, 36784, 283680, 177
Broward, 456789, 266829, 19, 7, 0, 8, 9, 9, 179, 125, 700, 26, 332, 8, 0, 23, 2, 0, 162699, 887764, 618
Calhoun, 6359, 614, 0, 0, 0, 0, 1, 0, 1, 42, 1, 0, 2, 0, 0, 0, 0, 0, 214, 7234, 13
Charlotte, 33358, 47549, 6, 0, 0, 1, 1, 3, 15, 2653, 73, 6, 41, 2, 0, 3, 2, 0, 15185, 98898, 63
Citrus, 33715, 33144, 7, 0, 1, 2, 15, 2, 10, 1583, 81, 4, 44, 0, 1, 4, 2, 0, 12763, 81378, 35
Clay, 24763, 48790, 4, 0, 0, 0, 5, 2, 14, 1336, 85, 10, 40, 4, 3, 1, 2, 0, 11802, 86861, 51
Collier, 29341, 70536, 3, 0, 0, 3, 22, 2, 53, 2919, 126, 16, 118, 2, 4, 3, 2, 0, 20422, 123572, 96
Columbia, 19835, 8225, 1, 0, 1, 0, 1, 2, 4, 592, 42, 6, 35, 1, 0, 0, 1, 0, 2385, 31131, 31
Dade, 396518, 338874, 48, 11, 4, 2, 2, 21, 177, 2158, 456, 126, 217, 25, 17, 5, 2, 1, 158248, 896912, 617
Desoto, 10231, 3739, 0, 5, 1, 0, 0, 0, 1, 401, 6, 1, 7, 1, 0, 0, 0, 0, 1338, 15731, 15
Dixie, 9003, 1095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 413, 10511, 11
Duval, 211762, 152008, 23, 0, 2, 9, 21, 3, 93, 10298, 504, 19, 150, 13, 21, 7, 5, 0, 49029, 423967, 268
Escambia, 78439, 69724, 9, 0, 4, 7, 8, 2, 63, 3824, 193, 5, 130, 3, 1, 2, 0, 0, 18590, 171004, 108
Flagler, 13439, 13758, 2, 0, 0, 0, 0, 0, 3, 466, 29, 0, 30, 0, 0, 0, 0, 0, 5739, 33466, 27
Franklin, 6128, 1038, 0, 0, 0, 0, 0, 0, 4, 39, 2, 0, 0, 0, 0, 0, 0, 0, 367, 7578, 8
Gadsden, 22340, 2633, 1, 0, 0, 2, 1, 0, 4, 195, 4, 2, 11, 0, 0, 2, 1, 0, 1057, 26253, 16
Gilchrist, 4965, 1396, 0, 0, 0, 0, 0, 0, 1, 58, 18, 0, 6, 0, 1, 2, 0, 0, 431, 6878, 14
Glades, 4497, 1352, 0, 0, 0, 0, 0, 0, 0, 194, 4, 0, 2, 0, 0, 0, 0, 0, 277, 6326, 13
Gulf, 7814, 1625, 0, 0, 0, 0, 0, 0, 1, 72, 7, 3, 3, 0, 1, 0, 0, 0, 397, 9923, 14
Hamilton, 5976, 696, 0, 0, 0, 0, 0, 0, 0, 65, 1, 0, 3, 0, 0, 0, 0, 0, 198, 6939, 8
Hardee, 7798, 2344, 0, 1, 0, 0, 0, 0, 1, 97, 2, 0, 4, 0, 0, 1, 0, 0, 638, 10886, 12
Hendry, 10258, 4475, 0, 0, 0, 0, 0, 0, 0, 220, 11, 0, 10, 0, 0, 0, 1, 0, 1293, 16268, 22
Hernando, 38087, 40760, 4, 0, 0, 4, 1, 0, 20, 1391, 55, 7, 43, 0, 0, 1, 0, 0, 15176, 95549, 51
Highlands, 22360, 23604, 5, 2, 0, 0, 3, 0, 5, 1281, 34, 6, 24, 2, 0, 1, 1, 0, 5613, 52941, 24
Hillsborough, 220810, 183476, 20, 0, 14, 13, 4, 23, 265, 10939, 732, 40, 299, 10, 25, 14, 6, 0, 82737, 499427, 320
Holmes, 8606, 1292, 0, 0, 0, 0, 0, 0, 1, 52, 5, 0, 2, 0, 0, 0, 0, 0, 359, 10317, 16
Indian River, 22064, 38256, 5, 0, 2, 2, 12, 2, 20, 1489, 74, 13, 66, 1, 2, 1, 1, 0, 9410, 71420, 38
Jackson, 18948, 3915, 3, 0, 0, 0, 0, 0, 1, 154, 7, 1, 8, 0, 0, 0, 0, 0, 936, 23973, 27
Jefferson, 6449, 1234, 0, 0, 0, 0, 0, 0, 1, 92, 11, 0, 2, 0, 0, 0, 0, 0, 372, 8161, 13
Lafayette, 3610, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 4036, 5
Lake, 46677, 64309, 9, 0, 0, 5, 1, 0, 21, 3291, 105, 18, 80, 3, 1, 1, 1, 0, 16509, 131031, 86
Lee, 79739, 124144, 17, 0, 3, 7, 80, 5, 46, 4824, 253, 22, 113, 4, 5, 9, 1, 0, 43646, 252918, 150
Leon, 86486, 40082, 1, 0, 0, 2, 1, 11, 145, 2243, 233, 12, 80, 1, 2, 0, 1, 0, 17117, 146417, 95
Levy, 12588, 4486, 0, 1, 0, 0, 5, 0, 6, 393, 18, 0, 17, 1, 0, 3, 0, 0, 1153, 18671, 21
Liberty, 3511, 166, 0, 0, 0, 0, 0, 0, 0, 7, 3, 0, 0, 0, 0, 0, 0, 0, 65, 3752, 8
Madison, 8734, 1289, 0, 0, 1, 0, 0, 0, 1, 82, 6, 0, 2, 0, 0, 0, 0, 0, 263, 10378, 11
Manatee, 58887, 80265, 5, 0, 1, 4, 38, 7, 78, 647, 181, 12, 140, 3, 0, 0, 0, 0, 30310, 170578, 135
Marion, 61566, 62972, 7, 1, 4, 0, 1, 0, 20, 4994, 143, 17, 108, 2, 4, 9, 0, 0, 17859, 147707, 96
Martin, 23243, 48046, 1, 0, 0, 1, 2, 0, 21, 2627, 63, 2, 48, 2, 0, 0, 0, 0, 12458, 86514, 40
Monroe, 18943, 18919, 2, 0, 1, 2, 5, 2, 37, 1538, 114, 8, 62, 3, 0, 0, 1, 0, 8772, 48409, 33
Nassau, 17000, 14171, 2, 0, 0, 1, 2, 1, 10, 749, 23, 0, 13, 0, 0, 1, 0, 0, 3197, 35170, 21
Okaloosa, 30931, 62121, 3, 0, 3, 1, 3, 0, 28, 257, 208, 7, 96, 0, 0, 2, 0, 0, 17660, 111320, 48
Okeechobe, 11270, 4638, 0, 0, 0, 0, 2, 1, 1, 281, 8, 0, 27, 0, 0, 0, 0, 0, 1220, 17448, 18
Orange, 165024, 161451, 5, 0, 3, 4, 79, 2, 158, 7751, 620, 12, 199, 6, 22, 8, 5, 0, 69430, 404779, 231
Osceola, 38685, 32884, 5, 0, 0, 3, 2, 2, 17, 3350, 110, 1, 62, 0, 0, 3, 1, 0, 17071, 92196, 66
Palm Beach, 295185, 231233, 22, 0, 21, 10, 29, 8, 142, 16336, 501, 44, 337, 16, 17, 11, 5, 15, 112762, 656694, 531
Pasco, 88854, 90172, 10, 0, 0, 7, 0, 4, 47, 271, 208, 6, 167, 6, 0, 0, 0, 0, 41919, 221671, 132
Pinellas, 214161, 242077, 31, 7, 4, 14, 20, 16, 337, 17614, 998, 85, 425, 20, 7, 10, 12, 0, 99123, 574961, 345
Polk, 114998, 97068, 10, 0, 1, 1, 5, 0, 44, 4317, 206, 15, 119, 2, 2, 4, 0, 0, 31015, 247807, 163
Putnam, 25550, 10453, 5, 2, 0, 5, 4, 0, 8, 1008, 33, 1, 27, 0, 0, 0, 1, 0, 3299, 40396, 50
Santa Rosa, 26911, 40505, 1, 0, 1, 3, 6, 0, 17, 1797, 71, 3, 55, 1, 0, 5, 0, 0, 8402, 77778, 36
Sarasota, 67785, 115255, 7, 0, 2, 7, 1, 2, 117, 3955, 222, 37, 154, 7, 4, 4, 3, 0, 34383, 221945, 142
Seminole, 62997, 91747, 6, 0, 6, 0, 2, 3, 51, 3485, 321, 15, 81, 2, 11, 0, 0, 0, 31977, 190704, 133
St.Johns, 30014, 44705, 6, 0, 0, 3, 2, 4, 36, 2091, 120, 7, 59, 4, 0, 6, 6, 0, 12448, 89511, 57
St.Lucie, 48684, 45638, 6, 0, 0, 5, 70, 3, 17, 3718, 90, 6, 25, 2, 1, 0, 2, 0, 19518, 117785, 78
Sumter, 15022, 12005, 1, 0, 0, 0, 8, 1, 1, 565, 27, 4, 21, 0, 0, 1, 1, 0, 3892, 31549, 24
Suwannee, 14658, 4479, 0, 0, 0, 1, 0, 0, 2, 814, 11, 1, 7, 0, 0, 1, 0, 0, 643, 20617, 16
Taylor, 10110, 1688, 0, 0, 0, 0, 0, 0, 1, 140, 4, 0, 3, 0, 0, 0, 0, 0, 358, 12304, 14
Union, 5700, 775, 0, 0, 0, 0, 0, 0, 0, 30, 1, 0, 1, 0, 0, 0, 0, 0, 245, 6752, 11
Volusia, 113336, 99432, 3, 0, 0, 2, 7, 3, 56, 5229, 261, 9, 176, 3, 1, 4, 1, 0, 42049, 260572, 172
Wakulla, 9953, 2561, 0, 0, 0, 0, 0, 0, 4, 147, 11, 1, 7, 0, 1, 2, 0, 0, 695, 13382, 12
Walton, 14845, 9911, 0, 0, 2, 0, 2, 1, 10, 445, 45, 3, 22, 1, 2, 1, 1, 0, 2853, 28144, 32
Washington, 10688, 2743, 0, 0, 0, 1, 0, 0, 4, 220, 17, 1, 9, 1, 0, 0, 0, 0, 674, 14358, 15
