Site	Rain	H	SO4	NO3	NH4	x	y
01	2073	11	11	4	3	9.21	12.81
02	1411	11	16	4	4	9.53	13.44
03	778	22	25	10	6	10.05	13.55
04	2008	21	26	13	14	9.63	14.39
05	2296	23	30	13	18	9.53	14.61
06	585	40	53	35	30	10.80	15.03
07	1524	21	31	15	20	10.37	15.66
08	745	41	58	34	41	11.01	15.77
09	1102	27	40	19	23	9.84	15.88
10	2303	29	32	14	21	9.53	15.93
11	1374	31	45	15	28	10.69	15.98
12	866	13	52	20	63	10.69	16.40
13	1129	27	35	19	20	11.01	16.51
14	2259	30	42	21	40	10.58	16.72
15	1626	29	40	20	53	10.27	16.83
16	1106	28	46	26	32	9.42	16.83
17	1360	28	50	23	31	11.01	17.15
18	503	75	85	41	59	11.85	17.46
19	936	48	66	29	45	11.11	17.46
20	518	89	110	44	64	11.96	17.89
21	928	29	72	25	34	11.22	18.10
22	702	42	69	39	53	12.59	18.20
23	2758	17	48	17	14	9.53	18.31
24	545	61	91	41	56	11.96	18.52
25	599	35	68	40	50	13.55	18.73
26	539	18	46	22	47	10.48	18.73
27	503	35	81	48	65	12.91	18.94
28	574	36	60	31	42	11.85	19.26
29	624	25	47	25	41	10.58	19.16
30	608	47	92	55	73	12.91	19.37
31	1491	16	24	12	12	9.74	19.37
32	1508	16	27	12	13	9.00	19.47
33	611	25	53	29	45	10.37	19.69
34	743	45	74	40	55	12.07	19.58
35	528	33	90	39	NA	13.23	19.69
36	589	25	79	39	71	11.54	20.21
37	720	12	44	23	41	11.01	20.32
38	577	37	65	39	44	12.70	20.53
39	984	13	28	17	24	10.05	20.64
40	816	27	46	25	31	11.85	20.74
41	740	19	46	27	38	12.49	20.96
42	1150	17	27	16	16	9.63	21.17
43	907	20	30	19	17	8.47	21.70
44	1348	8	27	19	16	7.83	15.98
45	972	8	43	20	36	8.36	16.19
46	1439	11	19	9	11	7.09	16.40
47	1543	21	41	24	27	8.36	16.83
