Smoker	Age7	Age8	Age9	Age10	Freq
No	0	0	0	0	237
No	0	0	0	1	 10
No	0	0	1	0	 15
No	0	0	1	1	  4
No	0	1	0	0	 16
No	0	1	0	1	  2
No	0	1	1	0	  7
No	0	1	1	1	  3
No	1	0	0	0	 24
No	1	0	0	1	  3
No	1	0	1	0	  3
No	1	0	1	1	  2
No	1	1	0	0	  6
No	1	1	0	1	  2
No	1	1	1	0	  5
No	1	1	1	1	 11
Yes	0	0	0	0	118
Yes	0	0	0	1	  6
Yes	0	0	1	0	  8
Yes	0	0	1	1	  2
Yes	0	1	0	0	 11
Yes	0	1	0	1	  1
Yes	0	1	1	0	  6
Yes	0	1	1	1	  4
Yes	1	0	0	0	  7
Yes	1	0	0	1	  3
Yes	1	0	1	0	  3
Yes	1	0	1	1	  1
Yes	1	1	0	0	  4
Yes	1	1	0	1	  2
Yes	1	1	1	0	  4
Yes	1	1	1	1	  7
