Day	Temp06	Temp15
19770101	220	298
19770102	230	285
19770103	233	234
19770104	207	255
19770105	203	233
19770106	184	260
19770107	181	274
19770108	190	283
19770109	190	286
19770110	210	266
19770111	180	282
19770112	218	280
19770113	210	264
19770114	214	291
19770115	230	291
19770116	250	289
19770117	234	280
19770118	230	374
19770119	220	260
19770120	190	275
19770121	210	290
19770122	230	304
19770123	240	301
19770124	230	286
19770125	230	282
19770126	200	285
19770127	200	278
19770128	210	274
19770129	200	281
19770130	200	287
19770131	220	299
19770201	230	296
19770202	250	284
19770203	250	291
19770204	230	275
19770205	220	286
19770206	210	290
19770207	230	282
19770208	220	286
19770209	210	287
19770210	210	290
19770211	220	287
19770212	220	280
19770213	230	280
19770214	210	285
19770215	230	283
19770216	220	283
19770217	210	294
19770218	210	285
19770219	200	278
19770220	220	240
19770221	210	234
19770222	220	251
19770223	230	332
19770224	210	297
19770225	230	295
19770226	250	282
19770227	220	280
19770228	220	287
19770301	230	281
19770302	221	230
19770303	202	281
19770304	240	256
19770305	240	286
19770306	230	283
19770307	220	287
19770308	220	230
19770309	230	256
19770310	220	219
19770311	220	231
19770312	220	265
19770313	230	293
19770314	220	282
19770315	210	275
19770316	200	293
19770317	200	274
19770318	200	269
19770319	190	277
19770320	200	255
19770321	210	273
19770322	190	271
19770323	190	274
19770324	190	281
19770325	190	282
19770326	190	279
19770327	200	280
19770328	190	288
19770329	200	284
19770330	220	291
19770331	220	286
19770401	230	300
19770402	230	290
19770403	220	275
19770404	223	284
19770405	220	268
19770406	221	274
19770407	211	274
19770408	220	263
19770409	140	238
19770410	163	245
19770411	151	247
19770412	180	257
19770413	175	253
19770414	190	240
19770415	170	207
19770416	161	241
19770417	180	248
19770418	166	246
19770419	170	249
19770420	177	244
19770421	180	245
19770422	170	236
19770423	163	240
19770424	155	240
19770425	155	249
19770426	156	215
19770427	163	244
19770428	160	246
19770429	145	251
19770430	170	235
19770501	95	243
19770502	140	237
19770503	160	220
19770504	160	235
19770505	144	220
19770506	171	223
19770507	150	263
19770508	140	255
19770509	150	251
19770510	160	244
19770511	156	214
19770512	133	240
19770513	170	244
19770514	200	234
19770515	190	220
19770516	190	215
19770517	174	224
19770518	173	254
19770519	190	241
19770520	130	233
19770521	117	240
19770522	90	220
19770523	110	211
19770524	70	247
19770525	142	217
19770526	70	217
19770527	120	225
19770528	200	175
19770529	100	197
19770530	130	212
19770531	140	196
19770601	50	155
19770602	70	175
19770603	70	191
19770604	100	214
19770605	120	203
19770606	120	187
19770607	110	202
19770608	120	190
19770609	100	200
19770610	90	150
19770611	120	215
19770612	70	205
19770613	80	207
19770614	110	220
19770615	130	220
19770616	120	218
19770617	110	251
19770618	110	223
19770619	150	190
19770620	110	220
19770621	140	209
19770622	140	205
19770623	133	190
19770624	160	192
19770625	150	207
19770626	90	173
19770627	70	179
19770628	120	192
19770629	90	189
19770630	120	179
19770701	90	173
19770702	70	191
19770703	112	196
19770704	110	205
19770705	120	181
19770706	130	188
19770707	134	182
19770708	121	203
19770709	140	190
19770710	130	209
19770711	120	205
19770712	101	210
19770713	90	215
19770714	100	222
19770715	110	188
19770716	80	200
19770717	80	201
19770718	90	200
19770719	90	200
19770720	90	198
19770721	90	221
19770722	80	210
19770723	73	210
19770724	110	200
19770725	40	190
19770726	30	205
19770727	70	204
19770728	110	200
19770729	36	188
19770730	40	196
19770731	60	190
19770801	50	206
19770802	41	205
19770803	60	206
19770804	69	215
19770805	80	218
19770806	105	208
19770807	100	246
19770808	60	230
19770809	102	202
19770810	95	217
19770811	100	210
19770812	144	195
19770813	150	211
19770814	75	195
19770815	78	207
19770816	93	215
19770817	120	189
19770818	109	210
19770819	110	214
19770820	112	213
19770821	82	230
