N/S	Country	Sex	Age	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q29	Q30	Q31
1	1	0	20	4	3	1	5	1	5	3	5	5	3	1	1	5	4	5	4	5	5	5	5	2	3	4	3	5	2	2	4	4	4	1
1	1	0	19	1	3	5	4	5	5	1	5	5	4	3	3	2	4	5	2	3	5	5	5	2	1	1	5	1	1	2	5	2	3	2
1	1	0	22	1	1	1	2			1	4	3	5	4	4	1	4	4	1	2	5	5	5	1	2	3	5	1	2	3	1	2	3	1
1	1	0	19	1	1	2	1	2	1	4	2	1	5	3	4	1	3	1	1	1	3	4	4	1	4	5	5	1	1	5	1	2	1	1
1	1	0	19	2	4	4	1	2	2	3	5	3	5	2	5	1	2	1	3	1	2	5	5	4	5	3	5	1	1	4	1	2	3	1
1	1	0	19	2	2	2	2	2	3	3	3	3	3	3	4	2	3	3	2	2	3	3	4	3	4	5	5	2	1	3	2	1	2	2
1	1	0	19	2	3	2	3	2	4	2	4	5	3	4	5	5	5	4	2	2	4	5	5	3	5	3	5	1	1	4	3	2	4	2
1	1	1	19	3	1	1	2	3	5	3	5	5	3	5	4	2	2	5	3	2	5	5	5	5	4	5	5	2	1	5	2	1	3	1
1	1	1	20	2	1	2	1	2	2	1	2	1	3	3	3	1	3	4	3	3	4	4	5	2	5	5	5	1	1	3	3	1	3	2
1	1	1	19	2	1	2	2	2	2	3	4	3	4	4	4	3	2	3	2	1	4	4	1	3	3	4	5	1	2	4	2	1	2	2
1	1	1	18	2	1	1	3	2	5	3	5	5	5	5	5	5	4	5	1	2	5	5	5	4	5	5	5	2	1	4	2	2	4	3
1	1	0	20	3	2	4	2	3	2	2	4	2	3	4	5	2	1	5	2	4	4	5	5	2	3	5	5	1	1	5	3	1	3	2
1	1	1	20	1	2	1	1	1	2	1	4	3	3	2	3	3	2	4	5	1	5	5	5	4	5	5	5	3	1	3	1	1	1	1
1	1	1	19	1	3	1	1	2	1	1	3	1	2	3	4	1	2	5	3	1	2	5	5	1	1	3	5	1	1	1	1	1	1	1
1	1	1	18	1	1	1	1	1	3	1	3	3	2	4	4	2	4	3	1	1	2	4	5	5	5	5	5	2	1	5	2	2	2	2
1	1	0	19	1	1	1	1	1	1	2	2	1	1	1	3	1	1	2	1	1	3	3	3	1	3	1	4	1	1	2	1	2	1	1
1	1	0	19	1	1	1	1	1	2	2	2	2	1	3	2	2	2	3	2	1	2	4	4	1	2	3	5	1	1	3	2	1	2	1
1	1	1	22	1	1	3	2	1	3	1	4	2	1	4	2	2	3	2	2	1	4	5	5	4	4	1	5	2	1	5	4	3	2	1
1	1	0	20	2	2	1	3	4	5	3	5	5	5	3	5	5	4	5	3	2	4	5	5	3	3	5	5	2	1	5	3	3	1	2
1	1	1	22	1	1	2	1	2	1	3	3	2	4	4	3	2	3	4	3	3	3	3	5	1	1	3	5	2	1	4	4	3	3	3
1	1	1	19	1	1	3	2	2	1	1	3	2	1	3	4	2	3	4	2	4	3	2	2	1	1	3	5	1	1	2	1	2	1	1
1	1	1	19	1	1	3	2	2	4	1	3	3	2	5	1	1	4	5	1	1	3	5	5	5	5	5	5	1	1	5	1	1	1	1
1	1	1	19	1	1	3	3	3	4	2	4	4	5	5	5	5	5	5	1	1	5	5	5	5	4	5	5	2	2	5	3	2	2	1
1	1	0	19	2	1	2	2	2	3	2	3	3	3	3	3	2	3	4	2	2	3	4	4	3	2	5	5	1	2	3	3	2	2	1
1	1	1	19	1	1	3	3	1	5	5	5	5	4	5	5	3	5	3	4	1	5	5	5	3	2	4	5	1	1	4	5	1	1	1
1	1	1	19	3	5	5	5	5	5	2	5	5	5	5	5	3	5	4	2	4	5	2	4	2	4	5	5	1	1	5	1	1	4	1
1	1	1	19	1	1	3	2	1	1	1	2	2	2	3	2	1	2	2	1	1	3	3	5	4	3	5	5	1	1	5	3	2	2	1
1	1	1	19	1	1	1	2	2	1	3	4	2	2	4	4	3	4	2	2	2	4	2	5	1	2	1	5	1	1	5	1	1	1	1
1	1	1	20	1	1	1	1	1	2	3	3	2	2	4	3	1	2	5	4	1	2	3	5	4	5	5	5	1	1	2	1	1	2	1
1	1	1	22	1	1	3	1	3	3	3	5	3	3	5	3	5	5	5	3	1	3	5	5	3	3	5	5	1	1	2	3	1	3	1
1	1	0	19	1	2	2	2	2		3	4	2	4	5	3	2	5	5	2	2	4	5	5	5	3	5	5	1	1	5	3	2	2	1
1	1	1	19	1	1	2	1	2	3	2	3	3	2	3	4	2	2	5	2	2	5	5	5	3	5	5	5	1	1	5	3	3	2	2
1	1	1	19	2	2	1	2	2	3	2	3	2	1	5	3	3	3	5	3	1	5	3	5	3	3	5	5	2	2	5	3	1	3	1
1	1	0	19	3	1	1	2	1	2	3	4	2	3	4	4	3	3	4	1	5	2	5	5	2	3	5	5	1	1	4	2	2	2	1
1	1	0	21	3	2	2	2	2	2	1	2	2	2	3	3	2	3	4	4	2	3	4	4	4	3	4	5	2	2	5	4	2	3	2
1	1	0	19	2	1	2	1	1	2	2	4	3	2	4	2	1	4	3	3	1	2	5	5	1	4	4	5	3	2	4	3	1	3	3
1	1	1	19	1	1	1	1	1	3	3	5	3	2	1	4	2	1	5	3	1	5	5	5	1	1	5	5	1	1	5	2	1	5	1
1	1	0	20	3	4	4	3	4	1	1	4	2	2	4	4	2	4	3	4	1	4	5	5	2	5	4	5	1	1	4	2	1	2	1
1	1	1	19	1	2	2	3	3	5	2	4	5	3	3	4	1	3	4	2	1	5	4	5	2	2	2	5	1	1	5	2	3	1	1
