Plant	Stock	Spacing	Zone	RLD
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Outer	0
1	Mark	5x3	Inner	0
1	Mark	5x3	Outer	0.003008
1	Mark	5x3	Inner	0.003008
1	Mark	5x3	Outer	0.012034
1	Mark	5x3	Outer	0.018051
1	Mark	5x3	Inner	0.018051
1	Mark	5x3	Outer	0.018051
1	Mark	5x3	Outer	0.024067
1	Mark	5x3	Inner	0.030084
1	Mark	5x3	Inner	0.030084
1	Mark	5x3	Outer	0.036101
1	Mark	5x3	Inner	0.036101
1	Mark	5x3	Inner	0.036101
1	Mark	5x3	Outer	0.042118
1	Mark	5x3	Inner	0.048135
1	Mark	5x3	Outer	0.054152
1	Mark	5x3	Outer	0.054152
1	Mark	5x3	Inner	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Inner	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Outer	0.060168
1	Mark	5x3	Inner	0.060168
1	Mark	5x3	Outer	0.102286
1	Mark	5x3	Inner	0.120337
1	Mark	5x3	Inner	0.120337
1	Mark	5x3	Inner	0.120337
1	Mark	5x3	Outer	0.120337
1	Mark	5x3	Inner	0.120337
1	Mark	5x3	Outer	0.120337
1	Mark	5x3	Inner	0.180505
1	Mark	5x3	Inner	0.180505
1	Mark	5x3	Inner	0.180505
1	Mark	5x3	Inner	0.180505
1	Mark	5x3	Inner	0.180505
1	Mark	5x3	Inner	0.240674
1	Mark	5x3	Inner	0.300842
