Location	Width	Length 
D	 6.0	 9.0
D	 6.5	 8.0
D	 6.5	 9.0
D	 7.0	 9.0
D	 7.0	10.0
D	 7.0	11.0
D	 8.0	 9.5
D	 8.0	10.0
D	 8.0	10.0
D	 8.0	11.0
D	 9.0	11.0
D	10.0	13.0
D	11.0	13.0
D	11.0	14.0
D	11.0	14.0
D	12.0	13.0
D	13.0	14.0
D	14.0	16.0
D	15.0	16.0
D	15.0	16.0
D	15.0	19.0
D	16.0	16.0
S	12.0	14.0
S	13.0	17.0
S	14.0	16.5
S	14.0	19.0
S	15.0	16.0
S	15.0	17.0
S	15.0	18.0
S	15.0	18.0
S	15.0	19.0
S	15.0	21.0
S	16.0	18.0
S	16.0	19.0
S	16.0	20.0
S	16.0	20.0
S	16.0	21.0
S	16.5	19.0
S	17.0	20.0
S	18.0	19.0
S	18.0	19.0
S	18.0	20.0
S	19.0	20.0
S	19.0	22.0
S	20.0	22.0
S	21.0	21.0
