Time	Bird1	Bird2
0	70.5	69.4
1	64.7	81.4
2	89.3	105.7
3	105.2	110.2
4	119.6	123.2
5	107.9	144.9
6	102.6	180.1
7	97.3	217.2
8	172	226.1
9	167.5	238
10	202.8	272
11	226	288
12	268.5	295.8
13	228.3	244.7
14	205.3	221.8
15	190.2	197
16	282.9	178.1
17	361.7	162.7
18	387.2	250.1
19	353.7	281.1
20	325.9	353.1
21	303.8	415.2
22	286.2	484.9
23	273.8	518.5
24	261.6	588.5
25	400.3	620
26	438.7	557.5
27	403.4	523.1
28	383.1	492.3
29	533.1	465.8
30	610.2	443.4
31	631.6	424.2
32	587.1	614
33	553.9	717.6
34	523.3	796
35	499.8	740.2
36	476.1	693.8
37	613.7	806.9
38	648.4	861.6
39	682.3	884.1
40	627.9	819.1
41	773.1	771.3
42	726.2	732.7
43	796.9	702.6
44	741.5	673.9
45	706	646.6
46	680	841.8
47	661	1013.1
48	629	1073.3
49	628	1125.9
50	610	1070.6
51	593	1003.2
52	747	961.7
53	783	928
54	732	894
55	700	864
56	679	837
57	661	815
58	808	793
59	862	1008
60	795	1050
61	766	983
62	742	850
63	724	1068
64	702	1058
65	693	1148
66	678	1061
67	661	1009
68	646	958
69	820	931
70	1058	903
71	991	880
72	980	858
73	924	838
74	890	817
75	867	959
76	850	1022
77	830	1121
78	817	1036
79	801	1110
80	788	1133
81	776	1067
82	861	1024
83	830	990
84	807	969
85	791	948
86	771	930
87	873	910
88	NA	894
89	NA	876
90	NA	983
91	NA	950
92	NA	926
93	NA	905
94	NA	888
95	NA	872
96	NA	856
97	NA	841
98	NA	829
99	NA	813
100	NA	800
101	NA	786
102	NA	768
103	NA	746
104	NA	733
105	NA	721
