Time	Blue	BlueSD	Red	RedSD
202.6394	0.04328	1.367	-0.3555	0.1469
205.8031	0.06463	0.1293	-0.1559	0.1319
206.8188	-0.2042	0.09011	-0.08967	0.1047
210.8221	0.03848	0.2644	-0.5623	0.3101
212.6808	-0.6994	-0.3544	0.06955	-0.3166
218.7859	-0.1759	0.07678	0.1314	0.09306
220.786	-0.1567	0.1009	-0.0009205	0.1004
228.7827	1.13	0.415	0.8569	0.343
231.714	0.2078	0.1048	0.1652	0.1043
232.6846	0.02801	0.0632	-0.05637	0.06566
233.7671	-0.09302	0.07049	-0.1489	0.07542
259.6217	0.3893	-0.08168	0.2359	0.08711
261.6273	-0.08125	0.09229	-0.1736	0.09282
262.5943	-0.1991	0.06733	-0.1574	0.06319
264.6582	1.111	0.1947	0.6657	0.1719
265.7131	0.2	0.07163	0.03944	0.06391
269.7503	0.7219	0.09202	0.2942	0.08306
271.7191	0.475	0.1388	0.3539	0.1175
272.7448	-0.02456	0.06348	-0.09218	0.06071
273.7469	-0.1976	0.1004	-0.05898	0.09281
283.5652	-0.3597	0.1518	-0.3393	0.1166
284.5511	-0.008257	0.1623	-0.1991	0.145
285.4362	-0.1774	0.07514	-0.04413	0.07169
285.693	0.2601	0.06511	0.2978	0.06247
286.5546	1.036	0.082	0.529	0.08444
291.7357	0.2601	0.1208	0.2382	0.1086
292.5877	1.111	0.2159	0.9516	-0.2049
293.6715	0.01204	0.07224	0.01765	0.06989
294.5096	0.4887	0.06124	0.3932	-0.06216
295.7013	-0.1226	0.04533	-0.1961	0.04439
296.5125	NA	NA	-0.07103	0.05296
297.4862	NA	NA	0.03848	0.07038
300.7126	-0.1177	0.0503	-0.02994	0.05184
304.4535	0.03181	0.1499	0.1513	0.1325
305.4896	-0.09801	0.06276	-0.1652	0.05733
306.4374	-0.1976	-0.1556	-0.05637	-0.1302
306.4511	-0.0494	0.1224	-0.1879	0.1016
307.4409	NA	NA	-0.06846	0.2603
308.4389	NA	NA	0.5545	0.1321
308.6292	-0.1796	0.0556	-0.1378	0.05069
310.4683	-0.07701	-0.7508	-1.154	-30000
310.5928	-0.02725	0.08708	-0.1465	0.07408
310.7494	1.105	0.08114	0.6626	0.08591
312.5967	1.116	0.2764	0.4217	0.2666
